x center,y center,width,height,ImageID,labelID,Area,boxID
0.481,0.5077,0.3619,0.8452,39,8,0.3059,0
0.4857,0.5077,0.3714,0.8452,40,8,0.3139,0
0.1429,0.5077,0.219,0.8452,41,8,0.1851,0
0.5524,0.5,0.3714,0.8298,41,8,0.3082,1
0.4667,0.5,0.3714,0.8298,42,8,0.3082,0
0.4714,0.5077,0.3619,0.8452,43,8,0.3059,0
0.4857,0.5,0.3524,0.8298,44,8,0.2924,0
0.4762,0.5,0.3714,0.8298,45,8,0.3082,0
0.4714,0.5077,0.3619,0.8452,46,8,0.3059,0
0.381,0.5,0.4476,0.8298,47,4,0.3715,0
0.5286,0.5,0.3619,0.8298,48,8,0.3003,0
0.5635,0.5366,0.8073,0.7606,49,0,0.614,0
0.4567,0.5,0.3656,0.8391,50,8,0.3067,0
0.4423,0.5078,0.3559,0.8547,51,8,0.3042,0
0.4856,0.5078,0.3656,0.8547,52,8,0.3124,0
0.5686,0.4349,0.6053,0.6903,53,0,0.4178,0
0.3208,0.462,0.5752,0.7757,54,4,0.4462,0
0.5156,0.4749,0.5353,0.5529,55,8,0.296,0
0.4189,0.5,0.7478,0.7278,56,5,0.5443,0
0.612,0.2136,0.2677,0.3014,57,11,0.0807,0
0.4658,0.4648,0.5851,0.6832,57,0,0.3998,1
0.8112,0.3443,0.3299,0.5426,58,11,0.179,0
0.5036,0.5229,0.661,0.6879,59,9,0.4547,0
0.4576,0.5076,0.3395,0.8814,60,8,0.2992,0
0.467,0.5304,0.396,0.7751,61,5,0.307,0
0.4717,0.462,0.3489,0.7903,62,5,0.2757,0
0.368,0.4924,0.5563,0.851,63,4,0.4735,0
0.4012,0.5,0.7407,0.808,64,5,0.5985,0
0.512,0.5065,0.6242,0.4777,65,8,0.2982,0
0.528,0.6098,0.6242,0.4777,66,8,0.2982,0
0.384,0.6098,0.6242,0.4777,67,8,0.2982,0
0.584,0.4935,0.6242,0.4777,68,8,0.2982,0
0.592,0.429,0.6242,0.4777,69,8,0.2982,0
0.2305,0.4821,0.3987,0.6797,70,11,0.271,0
0.2379,0.4881,0.4134,0.6678,71,11,0.2761,0
0.2453,0.5179,0.4282,0.6558,72,11,0.2808,0
0.4964,0.4598,0.9311,0.7801,73,5,0.7263,0
0.4325,0.5057,0.8031,0.6653,73,12,0.5344,1
0.2905,0.5077,0.5143,0.8909,74,4,0.4582,0
0.3905,0.5,0.5619,0.8755,75,11,0.492,0
0.4667,0.477,0.3714,0.7066,76,5,0.2624,0
0.5286,0.4539,0.4,0.7834,77,5,0.3133,0
0.4,0.5077,0.5619,0.8294,78,4,0.4661,0
0.5,0.4462,0.4,0.7987,79,5,0.3195,0
0.5455,0.5067,0.3147,0.8953,80,0,0.2817,0
0.5397,0.5071,0.2557,0.8968,81,8,0.2293,0
0.1561,0.4929,0.2469,0.8684,81,8,0.2144,1
0.221,0.488,0.3795,0.7212,82,11,0.2737,0
0.2321,0.494,0.4018,0.6851,83,11,0.2753,0
0.2507,0.494,0.439,0.6611,84,11,0.2902,0
0.5275,0.5063,0.3306,0.9008,85,4,0.2978,0
0.5039,0.5825,0.2991,0.7485,86,8,0.2239,0
0.8621,0.5888,0.2283,0.7105,86,8,0.1622,1
0.5459,0.4933,0.4929,0.8755,87,8,0.4315,0
0.2195,0.5239,0.3913,0.6559,88,11,0.2566,0
0.2342,0.494,0.4061,0.6917,89,11,0.2809,0
0.2305,0.5119,0.3839,0.6559,90,11,0.2518,0
0.4911,0.5215,0.2937,0.8752,91,8,0.2571,0
0.6095,0.5538,0.581,0.8154,92,4,0.4737,0
0.4143,0.4846,0.5524,0.8615,93,4,0.4759,0
0.3286,0.4923,0.5524,0.8154,94,4,0.4504,0
0.4762,0.5077,0.3524,0.9077,95,8,0.3199,0
0.4762,0.5077,0.3905,0.9077,96,8,0.3544,0
0.3524,0.2615,0.619,0.4462,97,11,0.2762,0
0.5,0.5,0.381,0.8615,98,9,0.3282,0
0.5238,0.5,0.3524,0.8615,99,5,0.3036,0
0.5048,0.4692,0.3714,0.8308,100,5,0.3086,0
0.4762,0.5,0.3524,0.8923,101,8,0.3144,0
0.4619,0.4231,0.3238,0.7692,102,5,0.2491,0
0.4476,0.4692,0.3333,0.8308,103,5,0.2769,0
0.4476,0.4923,0.5619,0.8769,104,11,0.4927,0
0.4333,0.4923,0.6667,0.9077,104,5,0.6051,1
0.3857,0.5,0.5905,0.8923,105,4,0.5269,0
0.6667,0.5154,0.5619,0.8615,106,11,0.4841,0
0.6476,0.4923,0.6381,0.9077,106,5,0.5792,1
0.3476,0.5077,0.6095,0.9077,107,4,0.5533,0
0.3221,0.615,0.2075,0.1912,108,9,0.0397,0
0.487,0.5553,0.0889,0.2569,108,9,0.0228,1
0.7853,0.8435,0.0926,0.236,108,9,0.0219,2
0.2017,0.1819,0.0815,0.2629,109,9,0.0214,0
0.5065,0.4836,0.0834,0.2689,109,9,0.0224,1
0.6668,0.4253,0.2075,0.1882,109,9,0.0391,2
0.7955,0.8406,0.076,0.242,110,9,0.0184,0
0.4972,0.5568,0.0871,0.2659,110,9,0.0232,1
0.3351,0.6165,0.2075,0.1882,110,9,0.0391,2
0.1896,0.2162,0.0797,0.2659,111,9,0.0212,0
0.488,0.506,0.0871,0.2659,111,9,0.0232,1
0.6566,0.4597,0.2057,0.1912,111,9,0.0393,2
0.1943,0.1714,0.0815,0.2599,112,9,0.0212,0
0.4935,0.4373,0.0871,0.2659,112,9,0.0232,1
0.6538,0.3835,0.2075,0.1882,112,9,0.0391,2
0.3369,0.6046,0.2075,0.1882,113,9,0.0391,0
0.5065,0.5538,0.0908,0.2659,113,9,0.0241,1
0.8002,0.8346,0.0815,0.2539,113,9,0.0207,2
0.3425,0.5,0.2001,0.1822,114,9,0.0365,0
0.512,0.4492,0.0908,0.2659,114,9,0.0241,1
0.8057,0.739,0.0852,0.2718,114,9,0.0232,2
0.3416,0.6075,0.1946,0.1822,115,9,0.0355,0
0.5083,0.5538,0.0871,0.2718,115,9,0.0237,1
0.8029,0.8376,0.0834,0.2479,115,9,0.0207,2
0.336,0.5344,0.2057,0.1792,116,9,0.0369,0
0.5046,0.4776,0.0871,0.2629,116,9,0.0229,1
0.802,0.7689,0.0815,0.2599,116,9,0.0212,2
0.324,0.6075,0.2001,0.1763,117,9,0.0353,0
0.4991,0.5523,0.0871,0.2629,117,9,0.0229,1
0.7965,0.8376,0.0852,0.2479,117,9,0.0211,2
0.3295,0.5448,0.2001,0.1822,118,9,0.0365,0
0.4954,0.497,0.0871,0.2659,118,9,0.0232,1
0.7946,0.7823,0.0926,0.2689,118,9,0.0249,2
0.3527,0.5344,0.1946,0.1912,119,9,0.0372,0
0.5176,0.491,0.0908,0.2718,119,9,0.0247,1
0.8141,0.7823,0.0834,0.2629,119,9,0.0219,2
0.2008,0.1983,0.0834,0.2659,120,9,0.0222,0
0.4981,0.4866,0.0778,0.2689,120,9,0.0209,1
0.6695,0.4283,0.2057,0.1822,120,9,0.0375,2
0.3425,0.506,0.2038,0.1763,121,9,0.0359,0
0.5148,0.4537,0.0815,0.2629,121,9,0.0214,1
0.8094,0.7479,0.0815,0.2659,121,9,0.0217,2
0.2147,0.1669,0.0815,0.2509,122,9,0.0205,0
0.513,0.4597,0.0815,0.2629,122,9,0.0214,1
0.6742,0.4014,0.2038,0.1763,122,9,0.0359,2
0.185,0.1714,0.0815,0.2599,123,9,0.0212,0
0.4843,0.4701,0.0871,0.2659,123,9,0.0232,1
0.6501,0.4074,0.2075,0.1882,123,9,0.0391,2
0.2063,0.2222,0.0834,0.2659,124,9,0.0222,0
0.5083,0.5134,0.0834,0.2689,124,9,0.0224,1
0.6742,0.4612,0.2038,0.1763,124,9,0.0359,2
0.1943,0.1744,0.0815,0.2599,125,9,0.0212,0
0.4972,0.4507,0.0834,0.2689,125,9,0.0224,1
0.6593,0.3954,0.2075,0.1882,125,9,0.0391,2
0.8076,0.8196,0.0815,0.2599,126,9,0.0212,0
0.5102,0.5284,0.0834,0.2689,126,9,0.0224,1
0.3444,0.5866,0.2075,0.1882,126,9,0.0391,2
0.7965,0.8002,0.0815,0.2629,127,9,0.0214,0
0.4954,0.5075,0.0834,0.2689,127,9,0.0224,1
0.3295,0.5657,0.2075,0.1882,127,9,0.0391,2
0.7946,0.8065,0.0815,0.2441,128,9,0.0199,0
0.4954,0.5485,0.0834,0.2497,128,9,0.0208,1
0.3314,0.6026,0.2075,0.1748,128,9,0.0363,2
0.8029,0.8051,0.0797,0.2469,129,9,0.0197,0
0.5046,0.5472,0.0871,0.2469,129,9,0.0215,1
0.3407,0.5957,0.2112,0.1831,129,9,0.0387,2
0.2063,0.2393,0.0797,0.2469,130,9,0.0197,0
0.5065,0.5139,0.0871,0.2469,130,9,0.0215,1
0.6723,0.4653,0.2112,0.1831,130,9,0.0387,2
0.7965,0.7164,0.0815,0.2524,131,9,0.0206,0
0.4972,0.4445,0.0871,0.2469,131,9,0.0215,1
0.3332,0.4986,0.2112,0.1831,131,9,0.0387,2
0.8094,0.8065,0.0815,0.2386,132,9,0.0194,0
0.5102,0.5388,0.0871,0.2469,132,9,0.0215,1
0.3444,0.5902,0.2112,0.1831,132,9,0.0387,2
0.2221,0.2295,0.0815,0.2386,133,9,0.0194,0
0.5195,0.5028,0.0871,0.2469,133,9,0.0215,1
0.6723,0.4487,0.2112,0.1831,133,9,0.0387,2
0.8002,0.7829,0.0852,0.2413,134,9,0.0206,0
0.4991,0.5111,0.0871,0.2469,134,9,0.0215,1
0.3286,0.5596,0.2057,0.172,134,9,0.0354,2
0.7789,0.8107,0.0797,0.2358,135,9,0.0188,0
0.4787,0.5555,0.0871,0.2469,135,9,0.0215,1
0.3138,0.604,0.2057,0.172,135,9,0.0354,2
0.7974,0.751,0.0797,0.2441,136,9,0.0194,0
0.4954,0.4736,0.0834,0.2497,136,9,0.0208,1
0.3295,0.5333,0.2075,0.1748,136,9,0.0363,2
0.198,0.1865,0.0815,0.2247,137,9,0.0183,0
0.4935,0.4542,0.0834,0.2497,137,9,0.0208,1
0.6575,0.3946,0.2075,0.1748,137,9,0.0363,2
0.8104,0.7663,0.0797,0.2469,138,9,0.0197,0
0.5139,0.4945,0.0871,0.2469,138,9,0.0215,1
0.3462,0.5485,0.2112,0.1831,138,9,0.0387,2
0.789,0.8107,0.0852,0.2358,139,9,0.0201,0
0.4935,0.5485,0.0834,0.2497,139,9,0.0208,1
0.324,0.6082,0.2075,0.1748,139,9,0.0363,2
0.7992,0.8148,0.0834,0.2275,140,9,0.019,0
0.3369,0.6012,0.1964,0.1664,140,9,0.0327,1
0.5046,0.5485,0.0834,0.2497,140,9,0.0208,2
0.3286,0.611,0.202,0.1748,141,9,0.0353,0
0.4954,0.5583,0.0908,0.2413,141,9,0.0219,1
0.7928,0.8176,0.0852,0.2219,141,9,0.0189,2
0.1924,0.2503,0.0852,0.2469,142,9,0.021,0
0.4907,0.5208,0.0926,0.2441,142,9,0.0226,1
0.6529,0.4723,0.2057,0.1692,142,9,0.0348,2
0.1896,0.2351,0.0834,0.2441,143,9,0.0204,0
0.4917,0.518,0.0834,0.2497,143,9,0.0208,1
0.6538,0.4584,0.2075,0.1748,143,9,0.0363,2
0.1924,0.2684,0.0815,0.2441,144,9,0.0199,0
0.4935,0.5444,0.0871,0.2469,144,9,0.0215,1
0.6631,0.4945,0.2075,0.1748,144,9,0.0363,2
0.8057,0.8051,0.0815,0.2469,145,9,0.0201,0
0.5083,0.5416,0.0871,0.2469,145,9,0.0215,1
0.3425,0.5971,0.2075,0.1748,145,9,0.0363,2
0.185,0.2032,0.0815,0.2469,146,9,0.0201,0
0.4843,0.4847,0.0871,0.2441,146,9,0.0213,1
0.6464,0.4279,0.2075,0.1748,146,9,0.0363,2
0.2128,0.2393,0.0815,0.2469,147,9,0.0201,0
0.5157,0.5153,0.0871,0.2441,147,9,0.0213,1
0.6779,0.4584,0.2075,0.1748,147,9,0.0363,2
0.3314,0.6068,0.2001,0.172,148,9,0.0344,0
0.4963,0.5541,0.0815,0.2386,148,9,0.0194,1
0.7928,0.8148,0.0815,0.2275,148,9,0.0185,2
0.1915,0.2642,0.0834,0.258,149,9,0.0215,0
0.4954,0.5374,0.0871,0.2441,149,9,0.0213,1
0.6575,0.4889,0.2075,0.1748,149,9,0.0363,2
0.7909,0.8079,0.0778,0.2413,150,9,0.0188,0
0.4935,0.5444,0.0871,0.2413,150,9,0.021,1
0.3314,0.5971,0.2075,0.1748,150,9,0.0363,2
0.8113,0.7954,0.0778,0.2386,151,9,0.0186,0
0.5139,0.525,0.0871,0.2413,151,9,0.021,1
0.3462,0.5832,0.2075,0.1748,151,9,0.0363,2
0.5818,0.5502,0.7887,0.625,152,0,0.4929,0
0.247,0.4944,0.4167,0.625,153,11,0.2604,0
0.2507,0.5391,0.4241,0.6696,154,11,0.284,0
0.2359,0.4944,0.4092,0.6473,155,11,0.2649,0
0.5044,0.5264,0.3086,0.8065,156,8,0.2489,0
0.8165,0.7197,0.0817,0.2475,157,9,0.0202,0
0.5149,0.4555,0.0873,0.2475,157,9,0.0216,1
0.3468,0.5056,0.2079,0.1752,157,9,0.0364,2
0.5243,0.1999,0.5156,0.2455,158,0,0.1266,0
0.6971,0.2863,0.2548,0.4183,158,11,0.1066,1
0.8041,0.7884,0.0837,0.248,159,9,0.0208,0
0.5102,0.5223,0.0837,0.2452,159,9,0.0205,1
0.341,0.5669,0.2028,0.1616,159,9,0.0328,2
0.8013,0.794,0.0818,0.248,160,9,0.0203,0
0.4991,0.5209,0.0874,0.248,160,9,0.0217,1
0.3382,0.5766,0.2083,0.1756,160,9,0.0366,2
0.8013,0.794,0.0818,0.248,161,9,0.0203,0
0.4991,0.5209,0.0874,0.248,161,9,0.0217,1
0.3382,0.5766,0.2083,0.1756,161,9,0.0366,2
0.779,0.7578,0.0818,0.248,162,9,0.0203,0
0.4767,0.4902,0.0874,0.248,162,9,0.0217,1
0.314,0.5432,0.2083,0.1756,162,9,0.0366,2
0.7976,0.7745,0.0818,0.248,163,9,0.0203,0
0.4953,0.5028,0.0874,0.2452,163,9,0.0214,1
0.3344,0.5571,0.2083,0.1756,163,9,0.0366,2
0.4278,0.6224,0.558,0.5903,164,11,0.3294,0
0.4822,0.5067,0.3115,0.8527,165,8,0.2657,0
0.7629,0.5343,0.4267,0.6398,166,11,0.273,0
0.7819,0.54,0.3886,0.6055,167,11,0.2353,0
0.7857,0.5171,0.381,0.6284,168,11,0.2394,0
0.7688,0.5173,0.4147,0.6332,169,11,0.2626,0
0.5229,0.5069,0.2839,0.8635,170,8,0.2451,0
0.5824,0.5,0.293,0.8498,171,8,0.249,0
0.4581,0.5228,0.6552,0.6053,172,7,0.3966,0
0.7781,0.54,0.3962,0.6396,173,11,0.2534,0
0.446,0.5073,0.3731,0.8376,174,0,0.3125,0
0.4656,0.5073,0.432,0.8376,175,12,0.3619,0
0.5245,0.5147,0.3927,0.7935,176,0,0.3116,0
0.5147,0.4927,0.5695,0.867,176,0,0.4937,1
0.4656,0.5073,0.432,0.867,177,8,0.3746,0
0.7765,0.5345,0.3994,0.5869,178,11,0.2344,0
0.7842,0.5575,0.384,0.61,179,11,0.2342,0
0.463,0.5069,0.3051,0.8723,180,8,0.2662,0
0.4491,0.5069,0.2959,0.8723,181,8,0.2581,0
0.5,0.5069,0.3236,0.8723,182,8,0.2823,0
0.5,0.5,0.3236,0.8585,183,8,0.2778,0
0.5212,0.5106,0.3457,0.8672,184,12,0.2998,0
0.8316,0.5159,0.2892,0.8567,184,12,0.2478,1
0.5212,0.5106,0.3457,0.8672,185,12,0.2998,0
0.8316,0.5106,0.2892,0.8672,185,12,0.2508,1
0.5097,0.5364,0.6608,0.6408,186,7,0.4235,0
0.5194,0.5364,0.622,0.5534,187,9,0.3442,0
0.4817,0.5343,0.3114,0.8242,188,9,0.2566,0
0.4863,0.4931,0.3205,0.8516,189,8,0.273,0
0.6102,0.6918,0.5188,0.3836,190,11,0.199,0
0.3685,0.4864,0.3447,0.8429,191,0,0.2905,0
0.3822,0.4926,0.3633,0.8532,192,5,0.3099,0
0.5,0.5,0.4418,0.8973,193,8,0.3965,0
0.4908,0.5069,0.3236,0.8857,194,8,0.2866,0
0.398,0.5073,0.5539,0.8872,195,0,0.4915,0
0.4368,0.5073,0.379,0.8872,196,12,0.3363,0
0.3882,0.5073,0.4373,0.8872,197,12,0.388,0
0.4951,0.5073,0.4179,0.8872,198,8,0.3708,0
0.7752,0.5574,0.268,0.7749,199,9,0.2077,0
0.5546,0.5371,0.3671,0.8023,200,5,0.2945,0
0.5149,0.4926,0.3869,0.8914,201,8,0.3449,0
0.6488,0.4926,0.6548,0.8023,202,8,0.5253,0
0.5,0.4926,0.377,0.8617,203,8,0.3248,0
0.4653,0.5371,0.5853,0.7725,204,0,0.4522,0
0.4702,0.5297,0.4167,0.8468,205,8,0.3528,0
0.3512,0.5,0.6349,0.9062,206,4,0.5754,0
0.5052,0.5,0.4451,0.8842,207,12,0.3936,0
0.51,0.5,0.3709,0.9152,208,12,0.3395,0
0.5652,0.5,0.3609,0.9152,209,12,0.3303,0
0.5236,0.4859,0.6035,0.6069,210,0,0.3663,0
0.5,0.5141,0.5941,0.5504,211,9,0.327,0
0.4859,0.4859,0.5469,0.494,212,1,0.2702,0
0.4702,0.4777,0.4762,0.8475,213,0,0.4036,0
0.4653,0.4926,0.5853,0.907,213,0,0.5309,1
0.4802,0.4926,0.3968,0.8475,214,0,0.3363,0
0.4802,0.4926,0.5952,0.907,214,0,0.5399,1
0.3512,0.4851,0.5159,0.8624,215,4,0.4449,0
0.4802,0.4777,0.5754,0.8475,216,0,0.4877,0
0.4653,0.4926,0.4464,0.8178,216,0,0.3651,1
0.5744,0.4926,0.3869,0.907,217,0,0.3509,0
0.4802,0.5149,0.377,0.8921,218,12,0.3363,0
0.5149,0.5074,0.4266,0.907,219,12,0.3869,0
0.4603,0.5074,0.377,0.907,220,0,0.3419,0
0.5843,0.5074,0.4464,0.8773,221,0,0.3916,0
0.5595,0.4926,0.5952,0.907,221,0,0.5399,1
0.3892,0.5307,0.3695,0.8604,222,7,0.3179,0
0.4795,0.5123,0.3695,0.799,223,9,0.2952,0
0.4959,0.5553,0.4023,0.8113,224,0,0.3264,0
0.4959,0.5615,0.3202,0.7006,224,0,0.2243,1
0.3399,0.3894,0.3202,0.7006,224,0,0.2243,2
0.5575,0.5184,0.3941,0.885,225,9,0.3488,0
0.5698,0.5123,0.5172,0.8973,226,0,0.4641,0
0.5575,0.5246,0.4433,0.8727,227,0,0.3869,0
0.4877,0.4754,0.3695,0.8481,228,12,0.3133,0
0.5082,0.4447,0.3612,0.8113,229,0,0.2931,0
0.5082,0.4693,0.312,0.7129,229,0,0.2224,1
0.4795,0.5123,0.3859,0.8973,230,0,0.3462,0
0.5205,0.457,0.3695,0.8112,231,0,0.2997,0
0.4631,0.5307,0.353,0.8604,232,0,0.3038,0
0.4672,0.5,0.3448,0.8727,233,0,0.3009,0
0.5903,0.4508,0.4598,0.799,234,0,0.3673,0
0.6149,0.5061,0.4269,0.9096,235,0,0.3883,0
0.6026,0.4816,0.3366,0.7621,235,0,0.2565,1
0.4877,0.5492,0.3695,0.8235,236,0,0.3043,0
0.4949,0.5,0.3951,0.9263,237,12,0.366,0
0.5304,0.4924,0.3647,0.9112,238,12,0.3323,0
0.4544,0.4772,0.4154,0.82,239,0,0.3406,0
0.4595,0.4924,0.5674,0.8808,239,0,0.4997,1
0.4544,0.4468,0.4357,0.82,240,0,0.3573,0
0.4696,0.4924,0.5471,0.8808,240,0,0.4819,1
0.5557,0.4772,0.4559,0.8808,241,0,0.4016,0
0.5304,0.5076,0.6079,0.9112,241,0,0.5539,1
0.5152,0.5,0.3951,0.9263,242,12,0.366,0
0.4899,0.4772,0.4661,0.8504,243,0,0.3963,0
0.4949,0.4772,0.537,0.8808,243,0,0.473,1
0.4949,0.4924,0.3546,0.9112,244,0,0.3231,0
0.4595,0.4924,0.3647,0.9112,245,12,0.3323,0
0.4696,0.4772,0.4458,0.8504,246,0,0.3791,0
0.4949,0.4772,0.5775,0.8808,246,0,0.5087,1
0.4949,0.4772,0.5775,0.8808,247,0,0.5087,0
0.4899,0.462,0.4661,0.82,247,0,0.3822,1
0.5659,0.4772,0.4762,0.8808,248,0,0.4194,0
0.5608,0.4924,0.5876,0.8808,248,0,0.5176,1
0.5051,0.5,0.4154,0.9263,249,0,0.3848,0
0.5355,0.5,0.3951,0.9263,250,12,0.366,0
0.5608,0.4772,0.6079,0.8808,251,0,0.5354,0
0.5253,0.4924,0.4762,0.8808,252,0,0.4194,0
0.4797,0.4924,0.4053,0.9112,253,0,0.3693,0
0.5585,0.5125,0.3509,0.8012,254,0,0.2811,0
0.5543,0.5125,0.3091,0.726,254,0,0.2244,1
0.4313,0.5,0.5793,0.9263,255,5,0.5366,0
0.4905,0.4643,0.5714,0.5714,256,9,0.3265,0
0.4959,0.5124,0.4969,0.8812,257,12,0.4378,0
0.4337,0.5248,0.3395,0.7819,258,0,0.2655,0
0.5207,0.5186,0.3478,0.8936,259,0,0.3108,0
0.5041,0.4566,0.3644,0.8191,260,5,0.2985,0
0.5,0.5434,0.3561,0.8439,261,0,0.3005,0
0.4917,0.5372,0.3561,0.8563,262,0,0.3049,0
0.4379,0.4752,0.381,0.7819,263,0,0.2979,0
0.4503,0.4876,0.5052,0.8812,263,0,0.4451,1
0.4876,0.5186,0.3478,0.7695,264,0,0.2676,0
0.4917,0.5186,0.472,0.8439,264,0,0.3984,1
0.5663,0.5186,0.5549,0.8936,265,0,0.4958,0
0.5538,0.5186,0.4803,0.8688,266,0,0.4173,0
0.4917,0.531,0.3727,0.8688,267,0,0.3238,0
0.4876,0.5434,0.4306,0.8191,268,0,0.3527,0
0.4288,0.4933,0.3649,0.893,269,12,0.3259,0
0.4644,0.5333,0.3471,0.8664,270,12,0.3007,0
0.4777,0.4867,0.356,0.8797,271,12,0.3132,0
0.4644,0.54,0.3471,0.8531,272,0,0.2961,0
0.4822,0.52,0.3471,0.893,273,8,0.31,0
0.5712,0.48,0.6142,0.4132,274,9,0.2538,0
0.5089,0.5067,0.9346,0.9197,275,5,0.8595,0
0.1529,0.3401,0.2403,0.5865,276,5,0.1409,0
0.4599,0.4867,0.6587,0.4532,277,9,0.2985,0
0.4733,0.5133,0.6142,0.4798,278,9,0.2947,0
0.5,0.4933,0.6142,0.4132,279,9,0.2538,0
0.5445,0.4867,0.5964,0.3999,280,9,0.2385,0
0.5089,0.52,0.6142,0.4132,281,9,0.2538,0
0.3932,0.5,0.4005,0.8531,282,0,0.3417,0
0.5089,0.5333,0.6142,0.4132,283,9,0.2538,0
0.5445,0.46,0.5964,0.4265,284,9,0.2544,0
0.5445,0.5267,0.6142,0.3999,285,9,0.2456,0
0.5178,0.4867,0.5785,0.3732,286,9,0.2159,0
0.5126,0.4558,0.472,0.7962,287,0,0.3758,0
0.5493,0.4631,0.3777,0.8368,288,8,0.316,0
0.4735,0.6254,0.6878,0.5018,289,9,0.3451,0
0.522,0.4736,0.6966,0.5678,290,12,0.3955,0
0.4868,0.4736,0.7143,0.5678,291,9,0.4056,0
0.4339,0.5198,0.679,0.5282,292,9,0.3586,0
0.4868,0.5132,0.679,0.5678,293,9,0.3855,0
0.7329,0.8007,0.4511,0.3405,294,5,0.1536,0
0.4596,0.5269,0.3145,0.8881,295,12,0.2793,0
0.4865,0.5404,0.3324,0.8612,296,8,0.2863,0
0.4686,0.5135,0.3145,0.9151,297,0,0.2878,0
0.5,0.5067,0.3594,0.8747,298,12,0.3144,0
0.4775,0.5135,0.3324,0.9151,299,12,0.3042,0
0.4596,0.4933,0.3324,0.8478,300,0,0.2818,0
0.473,0.5336,0.3594,0.8747,301,0,0.3144,0
0.4461,0.5202,0.3235,0.9016,302,12,0.2916,0
0.491,0.5202,0.3055,0.8478,303,12,0.259,0
0.482,0.5202,0.3414,0.9016,304,12,0.3078,0
0.5,0.5135,0.3594,0.9151,305,12,0.3289,0
0.4371,0.5202,0.3414,0.8747,306,12,0.2986,0
0.509,0.5269,0.3414,0.8881,307,12,0.3032,0
0.518,0.4798,0.3055,0.8478,308,12,0.259,0
0.4686,0.5,0.2965,0.8612,309,12,0.2553,0
0.491,0.5135,0.3055,0.8881,310,12,0.2713,0
0.4865,0.5336,0.3324,0.8747,311,0,0.2908,0
0.473,0.5202,0.4133,0.8747,312,0,0.3615,0
0.482,0.5202,0.3594,0.7939,312,0,0.2853,1
0.4551,0.5,0.3055,0.8881,313,12,0.2713,0
0.5,0.5269,0.3774,0.8343,314,12,0.3148,0
0.5719,0.5067,0.3235,0.9285,315,12,0.3003,0
0.4775,0.5135,0.3324,0.9151,316,12,0.3042,0
0.473,0.4865,0.3414,0.8881,317,0,0.3032,0
0.4191,0.4933,0.4133,0.9016,318,0,0.3726,0
0.473,0.5404,0.3414,0.8612,319,12,0.294,0
0.4551,0.4874,0.3055,0.8289,320,0,0.2532,0
0.4775,0.5251,0.3684,0.8289,321,12,0.3054,0
0.5629,0.5126,0.3414,0.8289,322,12,0.283,0
0.4865,0.4686,0.3145,0.7913,323,12,0.2488,0
