x center,y center,width,height,confidence,ImageID,labelID,Area,boxID,predTag
0.4915,0.5686,0.6394,0.6454,0.8291,31,0,0.4127,0,1
0.4459,0.5911,0.5714,0.6677,0.6979,32,5,0.3816,0,1
0.5578,0.49140000000000006,0.6045,0.653,0.6076,33,0,0.0,0,1
0.4914,0.4465,0.6414,0.5424,0.8477,34,12,0.3479,0,1
0.45110000000000006,0.4397,0.5703,0.6806000000000001,0.8614,35,0,0.0,0,1
0.49470000000000003,0.4461,0.6857,0.521,0.84,36,0,0.0,0,1
0.2762,0.4226,0.4638,0.6572,0.2387,37,11,0.0,0,1
0.4984,0.4988,0.3629,0.8548,0.9119,38,8,0.3102,0,1
0.4966,0.5022,0.3854,0.8546,0.9089,39,8,0.3294,0,1
0.497,0.498,0.3761,0.8617,0.902,40,8,0.3241,0,1
0.5227,0.5029,0.3867,0.8644,0.901,41,8,0.3343,0,1
0.463,0.502,0.3598,0.8512,0.9001,42,8,0.3063,0,1
0.4829,0.4994,0.3678,0.8528,0.8975,43,8,0.3136,0,1
0.4816,0.4975,0.354,0.8525,0.8754,44,8,0.3018,0,1
0.491,0.5048,0.3672,0.859,0.904,45,8,0.3154,0,1
0.4723,0.5006,0.3459,0.8529,0.9037,46,8,0.295,0,1
0.3584,0.4981,0.5501,0.8756,0.7131,47,4,0.4817,0,1
0.5189,0.5012,0.3598,0.8613,0.9067,48,8,0.3099,0,1
0.5211,0.4691,0.7683,0.6239,0.0112,49,12,0.4793,3,1
0.4531,0.5032,0.3693,0.8552,0.9113,50,8,0.3158,0,1
0.4431,0.5018,0.3841,0.8676,0.911,51,8,0.3333,0,1
0.489,0.5061,0.3832,0.8646,0.9018,52,8,0.3313,0,1
0.5803,0.4169,0.5924,0.6757,0.7428,53,0,0.4003,0,1
0.3434,0.4942,0.5672,0.8446,0.8728,54,4,0.0,0,1
0.58845,0.4479,0.7817000000000001,0.6216,0.4894,55,7,0.0,0,1
0.5097,0.4964,0.6582,0.6773,0.7517,56,7,0.4458,0,1
0.4961,0.43284999999999996,0.5831,0.7864,0.8743,57,0,0.0,0,1
0.594225,0.45985,0.7504500000000001,0.7634999999999998,0.5006,58,11,0.0,0,1
0.5143,0.49482499999999996,0.6952,0.74855,0.4458,59,5,0.0,0,1
0.4604,0.5115,0.3683,0.8848,0.9059,60,8,0.3258,0,1
0.4467,0.5227,0.3555,0.8275,0.7431,61,5,0.2942,0,1
0.4395,0.5039,0.4244,0.8609,0.7687,62,5,0.3654,0,1
0.3496,0.50145,0.5955000000000001,0.8891,0.8763,63,4,0.0,0,1
0.4906,0.524675,0.6559,0.7121499999999998,0.5313,64,5,0.0,0,1
0.514,0.5242,0.603,0.5041,0.8735,65,8,0.304,0,1
0.5239,0.6292,0.6186,0.494,0.804,66,8,0.3056,0,1
0.4116,0.6014,0.6082,0.4873,0.8824,67,8,0.2964,0,1
0.5873,0.5087,0.6138,0.4797,0.9053,68,8,0.2944,0,1
0.5991,0.4326,0.597,0.4631,0.9021,69,8,0.2765,0,1
0.2274,0.48277500000000007,0.3943,0.66795,0.8889,70,11,0.0,0,1
0.2144,0.46995000000000003,0.4066,0.6776000000000001,0.9003,71,11,0.0,0,1
0.2369,0.5169,0.43890000000000007,0.7294,0.8663,72,11,0.0,0,1
0.45787500000000003,0.484575,0.87405,0.76555,0.0042,73,4,0.0,0,1
0.30580000000000007,0.49577499999999997,0.5461,0.9095500000000001,0.8306,74,4,0.0,0,1
0.3772,0.49487499999999995,0.5905,0.91225,0.5389,75,4,0.0,0,1
0.5145,0.48077500000000006,0.37820000000000004,0.87415,0.7649,77,5,0.0,0,1
0.368,0.5024,0.6194,0.9319,0.652,78,4,0.5772,0,1
0.509,0.4886,0.368,0.8514,0.7876,79,5,0.3133,0,1
0.5416,0.5017,0.34990000000000004,0.9043000000000001,0.8827,80,0,0.0,0,1
0.5361,0.5013,0.2862,0.8799,0.9288,81,8,0.2519,0,1
0.2221,0.47887499999999994,0.3917,0.67435,0.8981,82,11,0.0,0,1
0.2076,0.47895,0.388,0.6695,0.9084,83,11,0.0,0,1
0.22700000000000004,0.5063,0.4,0.6869000000000001,0.8986,84,11,0.0,0,1
0.5288,0.5003,0.34990000000000004,0.8824000000000001,0.8954,85,4,0.0,0,1
0.6733,0.57125,0.5992999999999999,0.8035,0.8854,86,8,0.0,0,1
0.5327,0.4924,0.37,0.8997,0.8927,87,8,0.3329,0,1
0.2265,0.5162,0.4107,0.6920999999999999,0.888,88,11,0.0,0,1
0.229,0.48684999999999995,0.4006,0.6650999999999999,0.8884,89,11,0.0,0,1
0.2337,0.5143,0.4168,0.6738,0.8811,90,11,0.0,0,1
0.4746,0.5179,0.2881,0.8734,0.8889,91,8,0.2516,0,1
0.6116,0.5099,0.6313,0.8656,0.7926,92,4,0.5465,0,1
0.359925,0.6926,0.6176499999999999,0.5347,0.7456,93,11,0.0,0,1
0.33594999999999997,0.5011,0.5658000000000001,0.8701999999999999,0.8667,94,4,0.0,0,1
0.4852,0.5063,0.3965,0.913,0.9068,95,8,0.362,0,1
0.4796,0.5161,0.3402,0.8892,0.8736,96,8,0.3025,0,1
0.3663,0.279,0.6561,0.5252999999999999,0.732,97,11,0.0,0,1
0.4964,0.4972,0.3652000000000001,0.8755,0.6693,98,9,0.0,0,1
0.4599,0.5037,0.4299,0.8689,0.5348,99,5,0.3735,0,1
0.5162,0.4987,0.3956,0.8951,0.7345,100,5,0.3541,0,1
0.4901,0.5077,0.3634,0.9056,0.9067,101,8,0.3291,0,1
0.4163,0.4933,0.468,0.89,0.7202,102,5,0.4165,0,1
0.617875,0.487025,0.75415,0.9021499999999999,0.747,103,5,0.0,0,1
0.4004,0.4893,0.5913000000000002,0.8761,0.2719,104,11,0.0,0,1
0.3812,0.4946,0.5878000000000001,0.9026,0.8295,105,4,0.0,0,1
0.6628,0.5033,0.5482,0.8891,0.1555,106,4,0.0,0,1
0.3295,0.5079,0.6182000000000001,0.9207999999999998,0.8441,107,4,0.0,0,1
0.59875,0.652625,0.7658,0.6245499999999999,0.9445,108,9,0.0,0,1
0.534025,0.42542500000000005,0.74465,0.7906500000000001,0.9428,109,9,0.0,0,1
0.535075,0.65745,0.6088499999999999,0.6112,0.9464,110,9,0.0,0,1
0.522525,0.4424,0.75445,0.7043000000000001,0.9416,111,9,0.0,0,1
0.5665,0.307875,0.8307,0.5384499999999999,0.9372,112,9,0.0,0,1
0.606675,0.65765,0.74945,0.6099000000000001,0.9432,113,9,0.0,0,1
0.5457,0.5781499999999999,0.6113,0.5987,0.9427,114,9,0.0,0,1
0.5399499999999999,0.656725,0.6134,0.60955,0.9417,115,9,0.0,0,1
0.503325,0.505875,0.6830499999999999,0.78915,0.9362,116,9,0.0,0,1
0.603625,0.6536,0.7543500000000001,0.6153,0.9452,117,9,0.0,0,1
0.46470000000000006,0.5146,0.7365,0.8122999999999999,0.9369,118,9,0.0,0,1
0.47185,0.5267,0.7699,0.8277,0.9424,119,9,0.0,0,1
0.5312250000000001,0.428725,0.73795,0.7276499999999999,0.9387,120,9,0.0,0,1
0.5462,0.599775,0.6137000000000001,0.55965,0.9391,121,9,0.0,0,1
0.507,0.42052500000000004,0.6706,0.75665,0.945,122,9,0.0,0,1
0.5099,0.420825,0.7336,0.78485,0.9451,123,9,0.0,0,1
0.528575,0.48835,0.72665,0.8783,0.9396,124,9,0.0,0,1
0.4596,0.310875,0.6096000000000001,0.5464500000000001,0.9396,125,9,0.0,0,1
0.5447000000000001,0.6505500000000001,0.6149,0.5907,0.9455,126,9,0.0,0,1
0.53305,0.65715,0.6053999999999999,0.5548,0.9408,127,9,0.0,0,1
0.5326,0.667675,0.6088,0.5225499999999998,0.9466,128,9,0.0,0,1
0.5380499999999999,0.6658,0.6131,0.5234,0.9426,129,9,0.0,0,1
0.47895,0.36477500000000007,0.6263000000000001,0.58955,0.9372,130,9,0.0,0,1
0.477625,0.521475,0.71965,0.8101499999999999,0.9439,131,9,0.0,0,1
0.542125,0.664625,0.61045,0.5247499999999999,0.9458,132,9,0.0,0,1
0.5341,0.45195,0.7127,0.6969,0.9397,133,9,0.0,0,1
0.5363749999999999,0.645,0.61005,0.5165000000000001,0.9386,134,9,0.0,0,1
0.514825,0.671725,0.6070500000000001,0.5162500000000001,0.9446,135,9,0.0,0,1
0.467175,0.49332499999999996,0.73915,0.7653499999999999,0.943,136,9,0.0,0,1
0.530125,0.408325,0.7526499999999999,0.67325,0.9421,137,9,0.0,0,1
0.47367499999999996,0.519525,0.75915,0.7478499999999999,0.944,138,9,0.0,0,1
0.527725,0.6656,0.61095,0.5255000000000001,0.9428,139,9,0.0,0,1
0.46875,0.66475,0.7522,0.5278999999999999,0.9424,140,9,0.0,0,1
0.463275,0.6652,0.74125,0.5284,0.9442,141,9,0.0,0,1
0.52505,0.506275,0.756,0.75835,0.9457,142,9,0.0,0,1
0.524775,0.495425,0.7539499999999999,0.76325,0.9409,143,9,0.0,0,1
0.524775,0.47762499999999997,0.74885,0.81185,0.9428,144,9,0.0,0,1
0.5425500000000001,0.6641999999999999,0.6137,0.525,0.9475,145,9,0.0,0,1
0.5621,0.4351,0.838,0.7226,0.9415,146,9,0.0,0,1
0.52785,0.49072499999999997,0.7106,0.7565500000000001,0.947,147,9,0.0,0,1
0.4635,0.668475,0.7421,0.52155,0.9454,148,9,0.0,0,1
0.527925,0.471475,0.75285,0.8028500000000001,0.9395,149,9,0.0,0,1
0.5284500000000001,0.66445,0.609,0.528,0.9411,150,9,0.0,0,1
0.54715,0.6615,0.614,0.5183,0.945,151,9,0.0,0,1
0.54115,0.53045,0.8951,0.7238,0.0164,152,7,0.0,0,1
0.229,0.4808,0.414,0.6474,0.895,153,11,0.0,0,1
0.22499999999999998,0.5059,0.4032,0.6343000000000001,0.8632,154,11,0.0,0,1
0.23149999999999998,0.4888,0.4144,0.6407,0.8364,155,11,0.0,0,1
0.4998,0.5199,0.2992,0.8119,0.9124,156,8,0.2429,0,1
0.552875,0.591525,0.61205,0.5204500000000001,0.9407,157,9,0.0,0,1
0.6852,0.324275,0.29879999999999995,0.4916499999999999,0.3743,158,11,0.0,0,1
0.542675,0.68735,0.6149499999999999,0.5886,0.9419,159,9,0.0,0,1
0.53875,0.6911,0.614,0.5873,0.9387,160,9,0.0,0,1
0.53875,0.6911,0.614,0.5873,0.9387,161,9,0.0,0,1
0.520275,0.6098999999999999,0.6150500000000001,0.5498999999999999,0.9447,162,9,0.0,0,1
0.534,0.610725,0.6097999999999999,0.57865,0.9393,163,9,0.0,0,1
0.3961,0.511575,0.6004999999999998,0.84365,0.7116,164,11,0.0,0,1
0.4864,0.494,0.3291,0.8476,0.9,165,8,0.2789,0,1
0.76,0.5305,0.4396,0.6663000000000001,0.8922,166,11,0.0,0,1
0.7604249999999999,0.5476,0.4445499999999999,0.6704999999999999,0.8862,167,11,0.0,0,1
0.5604750000000001,0.529975,0.84995,0.6409500000000001,0.9073,168,11,0.0,0,1
0.770625,0.5211,0.42645,0.6471,0.8946,169,11,0.0,0,1
0.5184,0.5043,0.2949,0.8525,0.8231,170,8,0.2514,0,1
0.5616,0.4934,0.3082,0.8449,0.8992,171,8,0.2604,0,1
0.4678,0.5123,0.675,0.6415,0.211,172,7,0.433,0,1
0.7551,0.5305249999999999,0.4354,0.63505,0.8961,173,11,0.0,0,1
0.4371,0.5052,0.3619,0.861,0.7952,174,0,0.0,0,1
0.4482,0.5183,0.3883,0.8218999999999999,0.8885,175,12,0.0,0,1
0.5278,0.5202,0.4396,0.8295,0.7729,176,0,0.3647,0,1
0.4819,0.5038,0.4067,0.8828,0.718,177,8,0.3591,0,1
0.7797,0.5632,0.4364999999999999,0.7092,0.8884,178,11,0.0,0,1
0.773,0.5605,0.4446999999999999,0.6839,0.8754,179,11,0.0,0,1
0.4651,0.516,0.3282999999999999,0.8496000000000001,0.9061,180,8,0.0,0,1
0.4374,0.5118,0.2995,0.8586,0.899,181,8,0.2572,0,1
0.48537499999999995,0.5218,0.36875,0.8488,0.9104,182,8,0.0,0,1
0.4933,0.5002,0.327,0.8593,0.909,183,8,0.281,0,1
0.660025,0.52435,0.62955,0.819,0.9168,184,12,0.0,0,1
0.6619999999999999,0.5242,0.6322,0.8276999999999999,0.9182,185,12,0.0,0,1
0.5611250000000001,0.5082,0.8500500000000001,0.6727000000000001,0.7276,186,0,0.0,0,1
0.587025,0.5195,0.80115,0.7287000000000001,0.8309,187,9,0.0,0,1
0.5120750000000001,0.5015000000000001,0.9384500000000001,0.8567,0.8887,188,9,0.0,0,1
0.51,0.4969,0.3342,0.8622,0.904,189,8,0.2881,0,1
0.6339,0.6945,0.4709999999999999,0.48,0.7118,190,11,0.0,0,1
0.3846,0.4878,0.41,0.846,0.7934,191,0,0.3469,0,1
0.5168,0.5008,0.3982,0.8825,0.7657,193,8,0.3514,0,1
0.5050749999999999,0.5035499999999999,0.35645000000000004,0.8839000000000001,0.8752,194,8,0.0,0,1
0.4077,0.4828,0.5212,0.8396,0.8233,195,0,0.4376,0,1
0.4546,0.5042,0.4158,0.8934,0.8696,196,12,0.3714,0,1
0.38194999999999996,0.5053000000000001,0.4405,0.9086,0.752,197,12,0.0,0,1
0.4992,0.5063,0.3466,0.8881,0.8954,198,8,0.3078,0,1
0.612925,0.5523,0.6427499999999999,0.7695,0.698,199,9,0.0,0,1
0.5415,0.511,0.4138,0.8348,0.4829,200,5,0.3455,0,1
0.5112,0.5033,0.3491,0.8871,0.8325,201,8,0.3097,0,1
0.5134,0.5028,0.3254,0.8908,0.8378,202,8,0.2899,0,1
0.4805,0.5025,0.3644,0.8989,0.6682,203,8,0.3275,0,1
0.4719,0.528,0.6201,0.8281,0.0011,204,7,0.5135,3,1
0.4771,0.534,0.429,0.8678,0.8253,205,8,0.3723,0,1
0.33804999999999996,0.5232,0.6425000000000001,0.8701000000000001,0.364,206,11,0.0,0,1
0.5244,0.5197,0.4632,0.9144,0.7838,207,12,0.4236,0,1
0.4986,0.508,0.40990000000000004,0.8984000000000001,0.8588,208,12,0.0,0,1
0.5499,0.4918,0.41159999999999997,0.8944000000000001,0.8762,209,12,0.0,0,1
0.523775,0.5221,0.6273500000000001,0.6362999999999999,0.785,210,0,0.0,0,1
0.4961,0.50385,0.6175000000000002,0.5895999999999999,0.8466,211,9,0.0,0,1
0.501375,0.496625,0.5928500000000001,0.5681499999999999,0.8727,212,9,0.0,0,1
0.452,0.4863,0.4836,0.8663,0.8625,213,0,0.4189,0,1
0.487975,0.486475,0.43155,0.8872499999999999,0.8035,214,0,0.0,0,1
0.3415,0.4928,0.5624,0.8699,0.4579,215,4,0.4892,0,1
0.457,0.4885,0.4791,0.8747,0.8485,216,0,0.4191,0,1
0.5581,0.497,0.4043999999999999,0.9059000000000001,0.826,217,0,0.0,0,1
0.4672,0.4942,0.4,0.9052,0.839,218,12,0.3621,0,1
0.5133,0.504525,0.40379999999999994,0.8883500000000002,0.7605,219,12,0.0,0,1
0.4535,0.49859999999999993,0.40789999999999993,0.8936999999999999,0.8565,220,0,0.0,0,1
0.5609,0.4923,0.5083,0.894,0.7921,221,0,0.4544,0,1
0.4185,0.5211,0.36850000000000005,0.8652,0.8791,222,7,0.0,0,1
0.4838,0.5218,0.3591,0.8321,0.897,223,9,0.2988,0,1
0.5076,0.5605,0.426,0.7558,0.7578,224,0,0.322,0,1
0.5551,0.5138,0.39,0.8706,0.914,225,9,0.3396,0,1
0.5551,0.5213,0.3571,0.8258,0.8176,226,0,0.2949,0,1
0.384025,0.4985,0.73795,0.8258,0.8765,227,0,0.0,0,1
0.4672,0.4806,0.3863,0.8934,0.8531,228,12,0.3451,0,1
0.5158,0.4772,0.3772,0.7868,0.8108,229,0,0.2968,0,1
0.4821,0.5064,0.366,0.8573,0.7131,230,0,0.3138,0,1
0.5007,0.4578,0.37450000000000006,0.8439999999999999,0.8359,231,0,0.0,0,1
0.4583,0.5458,0.3639,0.8263,0.8592,232,0,0.0,0,1
0.47865,0.5166,0.36660000000000004,0.821,0.77,233,0,0.0,0,1
0.5891,0.4788,0.4756,0.8226,0.8692,234,0,0.3912,0,1
0.5758,0.4822,0.3784,0.8323,0.8232,235,0,0.315,0,1
0.4767,0.5334,0.3525,0.8417,0.8281,236,0,0.2967,0,1
0.5072,0.4979,0.4182,0.9178,0.885,237,12,0.3838,0,1
0.537,0.504275,0.4173,0.90985,0.85,238,12,0.0,0,1
0.4532,0.4984,0.4842,0.8821,0.8447,239,0,0.4271,0,1
0.4711,0.4856,0.5031,0.8658,0.8128,240,0,0.4356,0,1
0.5617,0.4853,0.5266,0.8873,0.8382,241,0,0.4672,0,1
0.523075,0.4906,0.41785000000000005,0.8876000000000001,0.608,242,0,0.0,0,1
0.4902,0.4758,0.5098,0.8616,0.8641,243,0,0.4392,0,1
0.5061,0.4948,0.40609999999999996,0.9151,0.854,244,0,0.0,0,1
0.4676,0.5072,0.37939999999999996,0.8861000000000001,0.818,245,12,0.0,0,1
0.4858,0.4813,0.5129,0.8676,0.8565,246,0,0.445,0,1
0.4724,0.479,0.4889,0.8558,0.8474,247,0,0.4184,0,1
0.561,0.4893,0.4902,0.8922,0.818,248,0,0.4373,0,1
0.4907,0.4956,0.4265999999999999,0.9102,0.8339,249,0,0.0,0,1
0.5136499999999999,0.508975,0.4204,0.9067500000000001,0.8382,250,12,0.0,0,1
0.5629,0.5112,0.5941,0.8891,0.7847,251,0,0.5282,0,1
0.5378,0.4973,0.4707,0.9038,0.7874,252,0,0.4254,0,1
0.49250000000000005,0.4973,0.43170000000000003,0.9106,0.8431,253,0,0.0,0,1
0.564,0.5259,0.3747,0.804,0.7992,254,0,0.3012,0,1
0.4162,0.4831,0.4393,0.8434000000000001,0.5645,255,5,0.0,0,1
0.4994,0.4834,0.5998,0.5829,0.8797,256,9,0.3496,0,1
0.49970000000000003,0.503,0.3889000000000001,0.8804999999999998,0.8316,257,12,0.0,0,1
0.4492,0.5132,0.3792,0.8151,0.8129,258,0,0.3091,0,1
0.5178,0.5182,0.3813,0.8681999999999999,0.8054,259,0,0.0,0,1
0.5043,0.4755,0.3617,0.8198,0.6877,260,5,0.2965,0,1
0.4951,0.5262,0.3680999999999999,0.8698999999999999,0.8522,261,0,0.0,0,1
0.4748,0.54,0.3521000000000001,0.8458000000000001,0.7851,262,0,0.0,0,1
0.4521,0.4854,0.3957,0.7802,0.8228,263,0,0.3087,0,1
0.5137,0.5206,0.3861,0.8057,0.7985,264,0,0.3111,0,1
0.5811,0.5405,0.487,0.826,0.8277,265,0,0.4022,0,1
0.5585,0.499125,0.3768,0.88095,0.8087,266,0,0.0,0,1
0.4802,0.5333,0.3771,0.8523,0.8147,267,0,0.3214,0,1
0.5153,0.5519,0.4132,0.7596,0.8124,268,0,0.3139,0,1
0.4323,0.4942,0.3675999999999999,0.8978999999999999,0.6769,269,12,0.0,0,1
0.474,0.5254,0.34390000000000004,0.8541000000000001,0.8734,270,12,0.0,0,1
0.48167499999999996,0.4906,0.34424999999999994,0.8945,0.8138,271,12,0.0,0,1
0.4779,0.5298,0.3313,0.834,0.8676,272,0,0.2763,0,1
0.4931,0.5206,0.3194,0.8545,0.919,273,8,0.273,0,1
0.5841,0.4652,0.614,0.4836,0.8925,274,9,0.2969,0,1
0.5009,0.621,0.7184,0.6601,0.0015,275,7,0.4742,1,1
0.4574,0.5028,0.6287,0.4957,0.508,276,9,0.3117,0,1
0.4698,0.483,0.6337,0.4716,0.8637,277,9,0.2989,0,1
0.47820000000000007,0.517,0.6268,0.5018,0.8585,278,9,0.0,0,1
0.5143,0.4939,0.6213,0.4543,0.8403,279,9,0.2823,0,1
0.5507,0.4797,0.6241,0.4753,0.8741,280,9,0.2967,0,1
0.527,0.5131,0.6349,0.4763,0.8653,281,9,0.3024,0,1
0.4352,0.5157,0.3672000000000001,0.8752000000000001,0.7816,282,12,0.0,0,1
0.5098,0.5271,0.6126,0.4589,0.9004,283,9,0.2811,0,1
0.5498,0.464,0.6185,0.467,0.9046,284,9,0.2888,0,1
0.5531,0.5171,0.615,0.4819,0.7999,285,9,0.2964,0,1
0.5163,0.4965,0.6186,0.4447,0.7802,286,9,0.2751,0,1
0.5075,0.4249,0.3373999999999999,0.7951,0.8004,287,0,0.0,0,1
0.5575,0.454125,0.4074,0.9035500000000001,0.8447,288,8,0.0,0,1
0.4788,0.6026,0.6923,0.5518,0.9082,289,9,0.3821,0,1
0.5209,0.5065,0.6996,0.5847,0.7096,290,12,0.4091,0,1
0.564325,0.4844,0.83065,0.6807,0.9145,291,9,0.0,0,1
0.4342,0.5078,0.6772,0.5506,0.8964,292,9,0.3729,0,1
0.42295,0.5166,0.8159,0.593,0.9212,293,9,0.0,0,1
0.4854,0.5235,0.3358,0.9096,0.9207,295,12,0.3054,0,1
0.4961,0.5337,0.3353,0.8797,0.9195,296,8,0.2949,0,1
0.4757,0.5222,0.34160000000000007,0.8595999999999999,0.8626,297,0,0.0,0,1
0.5041,0.5246,0.36149999999999993,0.8904,0.8486,298,12,0.0,0,1
0.4844,0.5147,0.33720000000000006,0.9032,0.9045,299,12,0.0,0,1
0.4636,0.4998,0.35929999999999995,0.8767,0.862,300,0,0.0,0,1
0.4651,0.5444,0.34029999999999994,0.8606,0.9106,301,0,0.0,0,1
0.4564,0.521225,0.3399,0.90415,0.7323,302,12,0.0,0,1
0.491,0.5304,0.34739999999999993,0.8794,0.9209,303,12,0.0,0,1
0.4853,0.5207,0.3367,0.9059,0.9198,304,12,0.305,0,1
0.5018,0.4962,0.4087,0.9179,0.8804,305,12,0.3751,0,1
0.44825,0.5244249999999999,0.33999999999999997,0.8954500000000001,0.7443,306,12,0.0,0,1
0.5154,0.5255,0.3398,0.9024,0.9176,307,12,0.3066,0,1
0.5333,0.4924,0.3253,0.903,0.8779,308,12,0.2938,0,1
0.4704,0.5131,0.3261,0.8798,0.8958,309,12,0.2869,0,1
0.5065,0.5063,0.3357,0.8967,0.912,310,12,0.301,0,1
0.4846750000000001,0.5302,0.33755000000000007,0.883,0.8925,311,0,0.0,0,1
0.4807,0.5376,0.4246,0.8262,0.8363,312,0,0.3508,0,1
0.4693,0.502,0.3396,0.9076,0.8277,313,12,0.0,0,1
0.5045,0.5301,0.38270000000000004,0.8580999999999999,0.8606,314,12,0.0,0,1
0.5793,0.5034,0.3357,0.9031,0.8339,315,12,0.3032,0,1
0.4844,0.5147,0.33720000000000006,0.9032,0.9045,316,12,0.0,0,1
0.4798,0.4869,0.3531,0.8602,0.8274,317,0,0.3038,0,1
0.430025,0.48765000000000003,0.45694999999999997,0.9065000000000001,0.7608,318,0,0.0,0,1
0.4859,0.5317,0.32899999999999996,0.8424,0.9012,319,12,0.0,0,1
0.4535,0.48485,0.34580000000000005,0.841,0.9038,320,0,0.0,0,1
0.4924,0.5299,0.3395,0.8354,0.898,321,12,0.2836,0,1
0.5693,0.4996,0.3387,0.8384,0.92,322,12,0.284,0,1
0.49545,0.49854999999999994,0.3458,0.8609,0.8526,323,12,0.0,0,1
0.4661,0.4984,0.36619999999999997,0.8639,0.6184,324,12,0.0,0,1
0.564325,0.5005,0.33135000000000003,0.8355999999999999,0.9001,325,12,0.0,0,1
0.489575,0.5138,0.33655000000000007,0.8258999999999999,0.9161,326,0,0.0,0,1
0.486525,0.49329999999999996,0.32765,0.8412,0.8402,327,0,0.0,0,1
0.5287,0.5658,0.3853,0.7362,0.8269,328,0,0.2836,0,1
0.51775,0.5218250000000001,0.33719999999999994,0.82595,0.8833,329,0,0.0,0,1
0.4813,0.500625,0.36760000000000004,0.85335,0.5527,330,12,0.0,0,1
0.4985,0.5242,0.372,0.7911,0.8456,331,0,0.2942,0,1
0.4264,0.4919,0.44110000000000005,0.8597999999999999,0.8117,332,0,0.0,0,1
0.4921,0.522675,0.33179999999999993,0.80995,0.9045,333,0,0.0,0,1
0.4868,0.5222,0.35529999999999995,0.8157000000000001,0.866,334,0,0.0,0,1
0.5193,0.4514,0.6028,0.5459,0.5823,335,5,0.329,0,1
0.43435,0.5215,0.3406,0.8088,0.5649,336,12,0.0,0,1
0.5629,0.5057,0.3873,0.8096,0.835,337,0,0.3136,0,1
0.5078,0.4649,0.6363,0.4306,0.8769,338,9,0.274,0,1
0.5019,0.477,0.35780000000000006,0.8234999999999999,0.8842,339,0,0.0,0,1
0.4932,0.5329,0.38639999999999997,0.7855000000000001,0.8365,340,0,0.0,0,1
0.4808,0.4942,0.4191,0.8129,0.8067,341,0,0.3407,0,1
0.5122,0.5137,0.3846,0.8209,0.8719,342,0,0.3157,0,1
0.4494,0.513,0.33640000000000003,0.8228,0.9211,343,0,0.0,0,1
0.5862,0.4963000000000001,0.3340000000000001,0.8406,0.9214,344,0,0.0,0,1
0.44699999999999995,0.5283,0.3386,0.812,0.9148,345,0,0.0,0,1
0.5033,0.5058,0.36959999999999993,0.8517000000000001,0.9042,346,12,0.0,0,1
0.5214,0.5478500000000001,0.3360000000000001,0.7718,0.8717,347,0,0.0,0,1
0.5092,0.5377,0.3407,0.7842,0.8569,348,0,0.0,0,1
0.5611,0.5066,0.3680999999999999,0.8283,0.8872,349,0,0.0,0,1
0.551,0.5016,0.34030000000000005,0.8496999999999999,0.8349,350,0,0.0,0,1
0.5043,0.5455,0.3857,0.7682,0.8456,351,0,0.2963,0,1
0.437,0.4909,0.4006,0.7969,0.8186,352,0,0.3192,0,1
0.4495,0.47830000000000006,0.3479999999999999,0.8145,0.8228,353,12,0.0,0,1
