ImageID,boxID_p,labelID_p,predTag_p,x_center_p,y_center_p,width_p,height_p,confidence,judge
75,0,4,1,0.3828,0.4962,0.5775,0.9096,0.5389,wrongkill
75,1,11,1,0.3772,0.4931,0.5905,0.9087,0.1853,same NG
75,7,2,1,0.3772,0.4931,0.5905,0.9087,0.0011,wrongkill
77,0,5,1,0.5168,0.4901,0.3736,0.8555,0.7649,same NG
77,1,7,1,0.5143,0.4768,0.3778,0.8662,0.0014,wrongkill
78,0,4,1,0.368,0.5024,0.6194,0.9319,0.652,same NG
79,0,5,1,0.509,0.4886,0.368,0.8514,0.7876,same NG
80,0,0,1,0.5416,0.5017,0.3499,0.9043,0.8827,same NG
80,1,12,1,0.5416,0.5017,0.3499,0.9043,0.0066,wrongkill
81,0,8,1,0.5361,0.5013,0.2862,0.8799,0.9288,same NG
82,0,11,1,0.222,0.4784,0.3906,0.6734,0.8981,same NG
82,1,2,1,0.222,0.4784,0.3906,0.6734,0.0088,wrongkill
82,2,4,1,0.2221,0.4792,0.3917,0.6737,0.0015,wrongkill
83,0,11,1,0.2075,0.4786,0.3873,0.6688,0.9084,same NG
83,1,2,1,0.2075,0.4786,0.3873,0.6688,0.0087,wrongkill
83,2,4,1,0.2076,0.4793,0.388,0.6688,0.0015,wrongkill
84,0,11,1,0.2268,0.5056,0.3986,0.6828,0.8986,same NG
84,1,2,1,0.2268,0.5056,0.3986,0.6828,0.0096,wrongkill
84,2,4,1,0.227,0.5063,0.4,0.6869,0.0015,wrongkill
85,0,4,1,0.5288,0.5003,0.3499,0.8824,0.8954,same NG
85,4,12,1,0.5322,0.5057,0.3273,0.8396,0.0036,wrongkill
85,7,7,1,0.5322,0.5057,0.3273,0.8396,0.002,wrongkill
86,0,8,1,0.5026,0.5625,0.2579,0.786,0.8854,same NG
86,1,8,1,0.8512,0.6122,0.2435,0.7216,0.7739,same NG
87,0,8,1,0.5327,0.4924,0.37,0.8997,0.8927,same NG
88,0,11,1,0.2264,0.5156,0.41,0.6901,0.888,same NG
88,1,2,1,0.2264,0.5156,0.41,0.6901,0.0078,wrongkill
88,3,4,1,0.2265,0.5162,0.4107,0.6921,0.0015,wrongkill
89,0,11,1,0.2288,0.4864,0.3993,0.6642,0.8884,same NG
89,1,2,1,0.2288,0.4864,0.3993,0.6642,0.0087,wrongkill
89,2,4,1,0.229,0.4871,0.4006,0.6646,0.0015,wrongkill
90,0,11,1,0.2326,0.5123,0.405,0.6607,0.8811,same NG
90,1,2,1,0.2326,0.5123,0.405,0.6607,0.0087,wrongkill
90,2,4,1,0.2337,0.5143,0.4168,0.6738,0.0015,wrongkill
91,0,8,1,0.4746,0.5179,0.2881,0.8734,0.8889,same NG
92,0,4,1,0.6116,0.5099,0.6313,0.8656,0.7926,same NG
93,0,11,1,0.3598,0.6921,0.6174,0.5332,0.7456,wrongkill
93,1,2,1,0.3601,0.6926,0.6173,0.5347,0.0046,wrongkill
93,2,4,1,0.3601,0.6926,0.6173,0.5347,0.002,same NG
94,0,4,1,0.3415,0.5001,0.5547,0.8641,0.8667,same NG
94,1,11,1,0.3354,0.5011,0.5647,0.8702,0.002,wrongkill
95,0,8,1,0.4852,0.5063,0.3965,0.913,0.9068,same NG
96,0,8,1,0.4796,0.5161,0.3402,0.8892,0.8736,same NG
97,0,11,1,0.3663,0.279,0.6561,0.5253,0.732,same NG
97,2,2,1,0.3663,0.279,0.6561,0.5253,0.0049,wrongkill
98,6,7,1,0.4964,0.4972,0.3652,0.8755,0.0013,overkill
99,0,5,1,0.4599,0.5037,0.4299,0.8689,0.5348,same NG
100,0,5,1,0.5162,0.4987,0.3956,0.8951,0.7345,same NG
101,0,8,1,0.4901,0.5077,0.3634,0.9056,0.9067,same NG
102,0,5,1,0.4163,0.4933,0.468,0.89,0.7202,same NG
103,0,5,1,0.4426,0.5049,0.4036,0.8664,0.747,same NG
104,1,11,1,0.4004,0.4893,0.5913,0.8761,0.2719,same NG
104,2,4,1,0.4004,0.4893,0.5913,0.8761,0.0762,wrongkill
104,4,2,1,0.4004,0.4893,0.5913,0.8761,0.0015,wrongkill
105,0,4,1,0.3868,0.4946,0.5766,0.8961,0.8295,same NG
105,1,11,1,0.3805,0.4946,0.5864,0.9026,0.0018,wrongkill
106,2,4,1,0.6628,0.5033,0.5482,0.8891,0.1555,wrongkill
106,4,2,1,0.6628,0.5033,0.5482,0.8891,0.0017,wrongkill
107,0,4,1,0.3287,0.5066,0.5949,0.904,0.8441,same NG
107,2,11,1,0.3295,0.5079,0.6182,0.9208,0.0022,wrongkill
115,6,12,1,0.5059,0.5535,0.0882,0.2679,0.001,overkill
152,3,7,1,0.4696,0.5196,0.752,0.7021,0.0164,wrongkill
152,7,2,1,0.9374,0.5957,0.1026,0.5933,0.002,wrongkill
153,0,11,1,0.2278,0.4805,0.3991,0.6329,0.895,same NG
153,1,2,1,0.2278,0.4805,0.3991,0.6329,0.0092,wrongkill
153,2,4,1,0.229,0.4808,0.414,0.6474,0.0015,wrongkill
154,0,11,1,0.2249,0.5053,0.4019,0.6326,0.8632,same NG
154,1,2,1,0.2249,0.5053,0.4019,0.6326,0.0079,wrongkill
154,2,4,1,0.225,0.5059,0.4032,0.6343,0.0016,wrongkill
155,0,11,1,0.2314,0.4884,0.4122,0.6365,0.8364,same NG
155,1,2,1,0.2314,0.4884,0.4122,0.6365,0.0084,wrongkill
155,2,4,1,0.2315,0.4888,0.4144,0.6407,0.0014,wrongkill
156,0,8,1,0.4998,0.5199,0.2992,0.8119,0.9124,same NG
158,0,11,1,0.6855,0.3241,0.2977,0.4913,0.3743,same NG
158,7,2,1,0.6852,0.3243,0.2988,0.4916,0.0027,wrongkill
164,0,11,1,0.3904,0.69,0.5891,0.4868,0.7116,same NG
164,3,2,1,0.3904,0.69,0.5891,0.4868,0.0052,wrongkill
164,4,0,1,0.5307,0.4986,0.3313,0.8177,0.0048,wrongkill
165,0,8,1,0.4864,0.494,0.3291,0.8476,0.9,same NG
166,0,11,1,0.7594,0.5297,0.4383,0.6629,0.8922,same NG
166,1,2,1,0.7622,0.5305,0.4352,0.6663,0.0095,wrongkill
166,2,4,1,0.7596,0.5302,0.4388,0.6627,0.0017,wrongkill
167,0,11,1,0.7603,0.5474,0.4443,0.6688,0.8862,same NG
167,1,2,1,0.7627,0.5487,0.437,0.665,0.0087,wrongkill
167,2,4,1,0.7605,0.5476,0.4444,0.6705,0.0016,wrongkill
168,0,11,1,0.7741,0.5318,0.4227,0.6373,0.9073,same NG
168,1,2,1,0.7741,0.5318,0.4227,0.6373,0.0089,wrongkill
168,3,4,1,0.7708,0.5307,0.4221,0.6323,0.0017,wrongkill
168,5,7,1,0.4919,0.5263,0.7128,0.6336,0.0013,wrongkill
169,0,11,1,0.7725,0.5211,0.4227,0.6471,0.8946,same NG
169,1,2,1,0.7725,0.5211,0.4227,0.6471,0.0087,wrongkill
169,3,4,1,0.7682,0.5212,0.4216,0.6434,0.0016,wrongkill
170,0,8,1,0.5184,0.5043,0.2949,0.8525,0.8231,same NG
171,0,8,1,0.5616,0.4934,0.3082,0.8449,0.8992,same NG
172,0,7,1,0.4678,0.5123,0.675,0.6415,0.211,same NG
173,0,11,1,0.7551,0.5305,0.4354,0.635,0.8961,same NG
173,2,2,1,0.7551,0.5305,0.4354,0.635,0.0085,wrongkill
173,3,4,1,0.7552,0.5308,0.4351,0.6345,0.0017,wrongkill
174,0,0,1,0.4371,0.5052,0.3619,0.861,0.7952,same NG
174,1,12,1,0.4372,0.5049,0.3606,0.8593,0.0041,wrongkill
175,0,12,1,0.4482,0.5183,0.3883,0.8219,0.8885,same NG
175,2,7,1,0.4482,0.5183,0.3883,0.8219,0.002,wrongkill
175,3,0,1,0.4482,0.5183,0.3883,0.8219,0.002,wrongkill
176,0,0,1,0.5278,0.5202,0.4396,0.8295,0.7729,same NG
177,0,8,1,0.4819,0.5038,0.4067,0.8828,0.718,same NG
178,0,11,1,0.7798,0.561,0.4325,0.7048,0.8884,same NG
178,1,2,1,0.7798,0.561,0.4325,0.7048,0.0083,wrongkill
178,3,4,1,0.7797,0.5662,0.4365,0.7032,0.0015,wrongkill
179,0,11,1,0.7732,0.5606,0.4429,0.6831,0.8754,same NG
179,1,2,1,0.7732,0.5606,0.4429,0.6831,0.0086,wrongkill
179,2,4,1,0.773,0.5605,0.4447,0.6839,0.0016,wrongkill
180,0,8,1,0.465,0.516,0.3271,0.8496,0.9061,same NG
180,2,12,1,0.4651,0.5158,0.3283,0.8486,0.0011,wrongkill
181,0,8,1,0.4374,0.5118,0.2995,0.8586,0.899,same NG
182,0,8,1,0.4876,0.523,0.3643,0.8457,0.9104,same NG
182,2,12,1,0.4836,0.5218,0.3652,0.8488,0.001,wrongkill
183,0,8,1,0.4933,0.5002,0.327,0.8593,0.909,same NG
184,0,12,1,0.8267,0.5335,0.2962,0.8007,0.9168,same NG
184,1,12,1,0.5135,0.523,0.3365,0.8163,0.8965,same NG
185,0,12,1,0.8275,0.5297,0.3012,0.8167,0.9182,same NG
185,1,12,1,0.5139,0.5208,0.336,0.8209,0.8907,same NG
186,0,0,1,0.4667,0.4956,0.654,0.6475,0.7276,wrongkill
186,2,7,1,0.4739,0.509,0.6756,0.6188,0.0027,same NG
189,0,8,1,0.51,0.4969,0.3342,0.8622,0.904,same NG
190,0,11,1,0.6343,0.6945,0.4686,0.48,0.7118,same NG
190,1,2,1,0.6339,0.6948,0.471,0.4793,0.006,wrongkill
191,0,0,1,0.3846,0.4878,0.41,0.846,0.7934,same NG
193,0,8,1,0.5168,0.5008,0.3982,0.8825,0.7657,same NG
194,0,8,1,0.5029,0.5042,0.3521,0.8826,0.8752,same NG
194,1,12,1,0.5052,0.5034,0.3562,0.8836,0.0119,wrongkill
195,0,0,1,0.4077,0.4828,0.5212,0.8396,0.8233,same NG
196,0,12,1,0.4546,0.5042,0.4158,0.8934,0.8696,same NG
197,0,12,1,0.3872,0.5038,0.43,0.9056,0.752,same NG
197,1,0,1,0.3792,0.5086,0.435,0.902,0.0033,wrongkill
198,0,8,1,0.4992,0.5063,0.3466,0.8881,0.8954,same NG
199,1,12,1,0.4539,0.5545,0.3247,0.7591,0.3415,overkill
199,2,0,1,0.4552,0.5488,0.3243,0.7625,0.1593,overkill
199,11,7,1,0.4552,0.5488,0.3243,0.7625,0.0014,overkill
199,14,12,1,0.7859,0.5602,0.2968,0.7305,0.0012,overkill
200,0,5,1,0.5415,0.511,0.4138,0.8348,0.4829,same NG
201,0,8,1,0.5112,0.5033,0.3491,0.8871,0.8325,same NG
202,0,8,1,0.5134,0.5028,0.3254,0.8908,0.8378,same NG
203,0,8,1,0.4805,0.5025,0.3644,0.8989,0.6682,same NG
204,3,7,1,0.4719,0.528,0.6201,0.8281,0.0011,wrongkill
205,0,8,1,0.4771,0.534,0.429,0.8678,0.8253,same NG
206,0,11,1,0.3064,0.6825,0.5792,0.5169,0.364,wrongkill
206,1,4,1,0.3569,0.5232,0.6048,0.8701,0.2344,same NG
207,0,12,1,0.5244,0.5197,0.4632,0.9144,0.7838,same NG
208,0,12,1,0.4986,0.508,0.4099,0.8984,0.8588,same NG
208,1,0,1,0.4993,0.5074,0.4065,0.897,0.013,wrongkill
209,0,12,1,0.5499,0.4918,0.4116,0.8944,0.8762,same NG
209,1,0,1,0.5499,0.4918,0.4116,0.8944,0.006,wrongkill
210,0,0,1,0.5251,0.5221,0.6247,0.6319,0.785,same NG
210,1,7,1,0.5224,0.5221,0.6246,0.6363,0.048,wrongkill
211,2,7,1,0.4961,0.5037,0.6175,0.5893,0.0035,overkill
212,4,7,1,0.502,0.4984,0.5916,0.5646,0.0011,wrongkill
213,0,0,1,0.452,0.4863,0.4836,0.8663,0.8625,same NG
214,0,0,1,0.488,0.4863,0.4315,0.8869,0.8035,same NG
214,1,12,1,0.4808,0.4869,0.4172,0.8864,0.0392,wrongkill
215,0,4,1,0.3415,0.4928,0.5624,0.8699,0.4579,same NG
216,0,0,1,0.457,0.4885,0.4791,0.8747,0.8485,same NG
217,0,0,1,0.5581,0.497,0.4044,0.9059,0.826,same NG
217,1,12,1,0.5581,0.497,0.4044,0.9059,0.0048,wrongkill
218,0,12,1,0.4672,0.4942,0.4,0.9052,0.839,same NG
219,0,12,1,0.5133,0.5059,0.4038,0.8856,0.7605,same NG
219,1,0,1,0.5138,0.5043,0.3917,0.8879,0.0414,wrongkill
220,0,0,1,0.4548,0.4951,0.4027,0.8867,0.8565,same NG
220,1,12,1,0.4535,0.4987,0.4079,0.8935,0.0083,wrongkill
221,0,0,1,0.5609,0.4923,0.5083,0.894,0.7921,same NG
222,0,7,1,0.4185,0.5211,0.3685,0.8652,0.8791,same NG
222,1,0,1,0.4185,0.5211,0.3685,0.8652,0.0082,wrongkill
224,0,0,1,0.5076,0.5605,0.426,0.7558,0.7578,same NG
226,0,0,1,0.5551,0.5213,0.3571,0.8258,0.8176,same NG
227,0,0,1,0.594,0.4985,0.318,0.8258,0.8765,same NG
228,0,12,1,0.4672,0.4806,0.3863,0.8934,0.8531,same NG
229,0,0,1,0.5158,0.4772,0.3772,0.7868,0.8108,same NG
230,0,0,1,0.4821,0.5064,0.366,0.8573,0.7131,same NG
231,0,0,1,0.5007,0.4578,0.3745,0.844,0.8359,same NG
231,1,12,1,0.5007,0.4578,0.3745,0.844,0.002,wrongkill
232,0,0,1,0.4583,0.5458,0.3639,0.8263,0.8592,same NG
232,1,12,1,0.4583,0.5458,0.3639,0.8263,0.0031,wrongkill
233,0,0,1,0.4816,0.5159,0.3607,0.8175,0.77,same NG
233,1,7,1,0.4765,0.5166,0.3623,0.821,0.0169,wrongkill
234,0,0,1,0.5891,0.4788,0.4756,0.8226,0.8692,same NG
235,0,0,1,0.5758,0.4822,0.3784,0.8323,0.8232,same NG
236,0,0,1,0.4767,0.5334,0.3525,0.8417,0.8281,same NG
237,0,12,1,0.5072,0.4979,0.4182,0.9178,0.885,same NG
238,0,12,1,0.537,0.5061,0.4173,0.9062,0.85,same NG
238,1,0,1,0.5385,0.5041,0.4138,0.9095,0.0102,wrongkill
239,0,0,1,0.4532,0.4984,0.4842,0.8821,0.8447,same NG
240,0,0,1,0.4711,0.4856,0.5031,0.8658,0.8128,same NG
241,0,0,1,0.5617,0.4853,0.5266,0.8873,0.8382,same NG
242,0,0,1,0.5175,0.4917,0.4067,0.8854,0.608,wrongkill
242,1,12,1,0.5252,0.4891,0.4136,0.8846,0.2055,same NG
243,0,0,1,0.4902,0.4758,0.5098,0.8616,0.8641,same NG
244,0,0,1,0.5061,0.4948,0.4061,0.9151,0.854,same NG
244,1,12,1,0.5061,0.4948,0.4061,0.9151,0.0025,wrongkill
245,0,12,1,0.4676,0.5072,0.3794,0.8861,0.818,same NG
245,1,0,1,0.4676,0.5072,0.3794,0.8861,0.0062,wrongkill
246,0,0,1,0.4858,0.4813,0.5129,0.8676,0.8565,same NG
247,0,0,1,0.4724,0.479,0.4889,0.8558,0.8474,same NG
248,0,0,1,0.561,0.4893,0.4902,0.8922,0.818,same NG
249,0,0,1,0.4907,0.4956,0.4266,0.9102,0.8339,same NG
249,1,12,1,0.4907,0.4956,0.4266,0.9102,0.0014,wrongkill
250,0,12,1,0.5122,0.5073,0.4175,0.9034,0.8382,same NG
250,1,0,1,0.5172,0.5094,0.4133,0.9059,0.0029,wrongkill
251,0,0,1,0.5629,0.5112,0.5941,0.8891,0.7847,same NG
252,0,0,1,0.5378,0.4973,0.4707,0.9038,0.7874,same NG
253,0,0,1,0.4925,0.4973,0.4317,0.9106,0.8431,same NG
253,1,7,1,0.4925,0.4973,0.4317,0.9106,0.0032,wrongkill
254,0,0,1,0.564,0.5259,0.3747,0.804,0.7992,same NG
255,0,5,1,0.4162,0.4831,0.4393,0.8434,0.5645,same NG
255,3,0,1,0.4162,0.4831,0.4393,0.8434,0.0015,wrongkill
257,0,12,1,0.4997,0.503,0.3889,0.8805,0.8316,same NG
257,1,0,1,0.4955,0.512,0.3357,0.8588,0.0131,wrongkill
258,0,0,1,0.4492,0.5132,0.3792,0.8151,0.8129,same NG
259,0,0,1,0.5178,0.5182,0.3813,0.8682,0.8054,same NG
259,1,12,1,0.5178,0.5182,0.3813,0.8682,0.0023,wrongkill
260,0,5,1,0.5043,0.4755,0.3617,0.8198,0.6877,same NG
261,0,0,1,0.4951,0.5262,0.3681,0.8699,0.8522,same NG
261,1,12,1,0.4951,0.5262,0.3681,0.8699,0.0011,wrongkill
262,0,0,1,0.4748,0.54,0.3521,0.8458,0.7851,same NG
262,1,12,1,0.482,0.5442,0.3241,0.8143,0.1006,wrongkill
263,0,0,1,0.4521,0.4854,0.3957,0.7802,0.8228,same NG
264,0,0,1,0.5137,0.5206,0.3861,0.8057,0.7985,same NG
265,0,0,1,0.5811,0.5405,0.487,0.826,0.8277,same NG
266,0,0,1,0.5576,0.4949,0.375,0.8725,0.8087,same NG
266,1,12,1,0.5587,0.5001,0.3764,0.879,0.0241,wrongkill
267,0,0,1,0.4802,0.5333,0.3771,0.8523,0.8147,same NG
268,0,0,1,0.5153,0.5519,0.4132,0.7596,0.8124,same NG
269,0,12,1,0.4323,0.4942,0.3676,0.8979,0.6769,same NG
269,1,0,1,0.4323,0.4942,0.3676,0.8979,0.1501,wrongkill
270,0,12,1,0.474,0.5254,0.3439,0.8541,0.8734,same NG
270,1,0,1,0.474,0.5254,0.3439,0.8541,0.0142,wrongkill
271,0,12,1,0.4826,0.4902,0.3424,0.8911,0.8138,same NG
271,1,0,1,0.4796,0.4906,0.3401,0.8945,0.0713,wrongkill
272,0,0,1,0.4779,0.5298,0.3313,0.834,0.8676,same NG
273,0,8,1,0.4931,0.5206,0.3194,0.8545,0.919,same NG
275,1,7,1,0.5009,0.621,0.7184,0.6601,0.0015,wrongkill
278,4,7,1,0.4782,0.517,0.6268,0.5018,0.0011,overkill
282,0,12,1,0.4353,0.5158,0.366,0.875,0.7816,wrongkill
282,1,0,1,0.4352,0.5155,0.3672,0.8748,0.1204,same NG
287,0,0,1,0.5075,0.4249,0.3374,0.7951,0.8004,same NG
287,1,12,1,0.5075,0.4249,0.3374,0.7951,0.0018,wrongkill
288,0,8,1,0.5574,0.4544,0.4007,0.903,0.8447,same NG
288,3,0,1,0.5575,0.4541,0.4074,0.9035,0.001,wrongkill
290,0,12,1,0.5209,0.5065,0.6996,0.5847,0.7096,same NG
291,1,12,1,0.4965,0.4858,0.695,0.5739,0.0025,overkill
295,0,12,1,0.4854,0.5235,0.3358,0.9096,0.9207,same NG
296,0,8,1,0.4961,0.5337,0.3353,0.8797,0.9195,same NG
297,0,0,1,0.4757,0.5222,0.3416,0.8596,0.8626,same NG
297,1,12,1,0.4813,0.5212,0.3242,0.8517,0.0025,wrongkill
298,0,12,1,0.5047,0.5247,0.3538,0.8902,0.8486,same NG
298,1,0,1,0.5041,0.5219,0.3615,0.885,0.0572,wrongkill
299,0,12,1,0.4844,0.5147,0.3372,0.9032,0.9045,same NG
299,1,0,1,0.4888,0.5096,0.3264,0.8927,0.0028,wrongkill
300,0,0,1,0.4636,0.4998,0.3593,0.8767,0.862,same NG
300,1,12,1,0.4658,0.5016,0.3362,0.8638,0.0063,wrongkill
301,0,0,1,0.4651,0.5444,0.3403,0.8606,0.9106,same NG
301,1,12,1,0.4651,0.5444,0.3403,0.8606,0.001,wrongkill
302,0,12,1,0.4552,0.5217,0.335,0.9032,0.7323,same NG
302,1,0,1,0.4564,0.5197,0.3399,0.9011,0.2492,wrongkill
303,0,12,1,0.491,0.5323,0.3474,0.8716,0.9209,same NG
303,2,0,1,0.4935,0.5304,0.3303,0.8794,0.0011,wrongkill
304,0,12,1,0.4853,0.5207,0.3367,0.9059,0.9198,same NG
305,0,12,1,0.5018,0.4962,0.4087,0.9179,0.8804,same NG
306,0,12,1,0.4457,0.5265,0.3349,0.8913,0.7443,same NG
306,1,0,1,0.4487,0.5226,0.3391,0.8918,0.22,wrongkill
307,0,12,1,0.5154,0.5255,0.3398,0.9024,0.9176,same NG
308,0,12,1,0.5333,0.4924,0.3253,0.903,0.8779,same NG
309,0,12,1,0.4704,0.5131,0.3261,0.8798,0.8958,same NG
310,0,12,1,0.5065,0.5063,0.3357,0.8967,0.912,same NG
311,0,0,1,0.4852,0.5324,0.3365,0.8723,0.8925,same NG
311,1,12,1,0.4868,0.5358,0.3239,0.864,0.0255,wrongkill
