Unnamed: 0,x center,y center,width,height,confidence,ImageID,labelID,Area,boxID,Tag,Type,Signature,predTag,Train Comparison,Test Comparison
46,0.8605,0.4969,0.1478,0.1217,0.0013,10,1,0.018,3,0,4,C,0,1,
47,0.1386,0.4374,0.1454,0.1189,0.9111,11,8,0.0173,0,1,6,C,1,1,
48,0.1386,0.4374,0.1454,0.1189,0.0013,11,1,0.0173,1,0,4,C,0,,1
49,0.7776,0.4972,0.4133,0.6771,0.0011,11,5,0.2798,2,0,2,C,0,1,
50,0.1411,0.4535,0.1483,0.1203,0.8863,12,8,0.0178,0,1,6,C,1,1,
51,0.1414,0.4534,0.1489,0.1192,0.0013,12,1,0.0177,1,0,4,C,0,1,
52,0.7788,0.4981,0.4151,0.6778,0.0011,12,5,0.2813,2,0,2,C,0,1,
53,0.8435,0.5465,0.1447,0.1223,0.9278,13,8,0.0177,0,1,6,C,1,1,
54,0.2186,0.4967,0.4053,0.6643,0.0016,13,5,0.2693,1,0,2,C,0,,1
55,0.8435,0.5465,0.1447,0.1223,0.0013,13,1,0.0177,2,0,4,C,0,,1
56,0.8428,0.5477,0.1472,0.1229,0.001,13,9,0.0181,3,0,0,C,0,1,
57,0.8465,0.5285,0.1521,0.1187,0.9041,14,8,0.0181,0,1,6,C,1,1,
58,0.8465,0.5285,0.1521,0.1187,0.0014,14,1,0.0181,1,0,4,C,0,1,
59,0.2141,0.4963,0.3963,0.6757,0.0012,14,5,0.2678,2,0,2,C,0,1,
60,0.8477,0.5273,0.1494,0.1176,0.0012,14,9,0.0176,3,0,0,C,0,1,
61,0.8748,0.5181,0.1466,0.1166,0.9126,15,8,0.0171,0,1,6,C,1,1,
62,0.8747,0.3861,0.1145,0.0954,0.0067,15,8,0.0109,1,0,2,C,0,1,
63,0.8654,0.6607,0.1128,0.0969,0.0049,15,8,0.0109,2,0,2,C,0,,1
64,0.8748,0.5181,0.1466,0.1166,0.0013,15,1,0.0171,3,0,4,C,0,1,
65,0.2163,0.4935,0.4047,0.6683,0.0011,15,5,0.2705,4,0,2,C,0,1,
66,0.1256,0.4576,0.1483,0.1208,0.9006,16,8,0.0179,0,1,6,C,1,1,
67,0.1258,0.4576,0.1487,0.1224,0.0013,16,1,0.0182,1,0,4,C,0,1,
68,0.4048,0.4042,0.6086,0.6162,0.8399,17,0,0.375,0,1,6,C,1,,1
69,0.4716,0.4901,0.3748,0.8229,0.8643,18,4,0.3084,0,1,6,C,1,1,
70,0.4705,0.4838,0.335,0.7924,0.0098,18,5,0.2655,1,1,5,C,0,0,
71,0.4705,0.4838,0.335,0.7924,0.006,18,12,0.2655,2,0,4,C,1,0,
72,0.4705,0.4838,0.335,0.7924,0.0049,18,11,0.2655,3,1,5,C,0,0,
73,0.4705,0.4838,0.335,0.7924,0.0045,18,1,0.2655,4,0,4,C,0,1,
74,0.4705,0.4838,0.335,0.7924,0.0033,18,7,0.2655,5,0,4,C,1,0,
75,0.4723,0.488,0.3765,0.8179,0.0015,18,8,0.3079,6,0,4,C,0,,1
76,0.4714,0.4893,0.3755,0.8156,0.0014,18,9,0.3062,7,0,0,C,0,1,
77,0.3245,0.4951,0.5504,0.8214,0.8042,19,0,0.4522,0,1,6,C,1,1,
78,0.231,0.4963,0.4033,0.7154,0.0014,19,11,0.2885,1,0,4,C,0,1,
79,0.5154,0.4935,0.4043,0.8173,0.8578,20,8,0.3304,0,1,6,C,1,1,
80,0.8782,0.5168,0.2939,0.8157,0.0015,20,8,0.2398,1,0,2,C,0,1,
81,0.4981,0.4988,0.3753,0.8375,0.8936,21,8,0.3144,0,1,6,C,1,,1
82,0.2748,0.4943,0.4941,0.803,0.8915,22,4,0.3967,0,1,6,C,1,1,
83,0.2744,0.4928,0.494,0.8074,0.0032,22,11,0.3989,1,1,5,C,0,0,
84,0.2775,0.4952,0.4735,0.8093,0.0019,22,1,0.3832,2,0,4,C,0,,1
85,0.2775,0.4952,0.4735,0.8093,0.0018,22,5,0.3832,3,1,5,C,0,0,
86,0.2744,0.4928,0.494,0.8074,0.0013,22,9,0.3989,4,0,0,C,0,1,
87,0.5433,0.5003,0.3957,0.8473,0.8461,23,0,0.3353,0,1,6,C,1,1,
88,0.2636,0.5029,0.4889,0.856,0.0028,23,8,0.4185,1,0,2,C,0,,1
89,0.5315,0.5,0.3985,0.8524,0.8514,24,0,0.3396,0,1,6,C,1,,1
90,0.5315,0.5,0.3985,0.8524,0.0025,24,12,0.3396,1,1,5,C,1,1,
91,0.5281,0.5017,0.4002,0.8549,0.0014,24,7,0.3421,2,1,5,C,1,1,
92,0.5281,0.5007,0.3933,0.8398,0.0013,24,8,0.3303,3,0,4,C,0,,1
93,0.564,0.5021,0.4836,0.8319,0.8355,25,0,0.4023,0,1,6,C,1,1,
94,0.4668,0.4913,0.4621,0.8173,0.8444,26,0,0.3777,0,1,6,C,1,1,
95,0.4116,0.499,0.5338,0.8197,0.8436,27,0,0.4376,0,1,6,C,1,1,
96,0.4827,0.5028,0.365,0.8485,0.9047,28,8,0.3097,0,1,6,C,1,1,
97,0.1443,0.4862,0.2385,0.8246,0.0072,28,8,0.1967,1,0,2,C,0,1,
98,0.6518,0.5204,0.5383,0.8113,0.8034,29,4,0.4367,0,1,6,C,1,,1
99,0.6514,0.5203,0.5373,0.8044,0.0026,29,11,0.4322,1,1,5,C,0,0,
100,0.6514,0.5203,0.5373,0.8044,0.0024,29,5,0.4322,2,1,5,C,0,0,
101,0.6514,0.5203,0.5373,0.8044,0.0018,29,1,0.4322,3,0,4,C,0,1,
102,0.6514,0.5203,0.5373,0.8044,0.0013,29,8,0.4322,4,0,4,C,0,1,
103,0.6514,0.5203,0.5373,0.8044,0.0012,29,9,0.4322,5,0,0,C,0,1,
104,0.4549,0.4688,0.649,0.6259,0.7549,30,0,0.4062,0,1,6,C,1,1,
105,0.9591,0.2062,0.0355,0.258,0.0012,30,9,0.0092,1,1,1,C,1,1,
106,0.4915,0.5686,0.6394,0.6454,0.8291,31,0,0.4127,0,1,6,C,1,1,
107,0.4459,0.5911,0.5714,0.6677,0.6979,32,5,0.3816,0,1,6,C,1,,1
108,0.5579,0.4914,0.6003,0.6517,0.6076,33,0,0.3912,0,1,5,C,1,1,
109,0.5379,0.5087,0.6179,0.692,0.0523,33,5,0.4276,1,1,6,C,0,0,
110,0.5578,0.4914,0.6045,0.653,0.0059,33,11,0.3948,2,0,4,C,0,1,
111,0.5578,0.4914,0.6045,0.653,0.0013,33,9,0.3948,3,0,0,C,0,1,
112,0.5578,0.4914,0.6045,0.653,0.0012,33,7,0.3948,4,0,4,C,1,0,
113,0.4914,0.4465,0.6414,0.5424,0.8477,34,12,0.3479,0,1,6,C,1,1,
114,0.4915,0.4465,0.6447,0.5436,0.0038,34,0,0.3504,1,1,5,C,0,0,
115,0.4915,0.4463,0.6389,0.5441,0.0014,34,8,0.3476,2,0,4,C,0,1,
116,0.4915,0.4463,0.6389,0.5441,0.001,34,1,0.3476,3,0,4,C,0,,1
117,0.4509,0.4397,0.5675,0.6792,0.8614,35,0,0.3855,0,0,4,C,1,0,
118,0.4461,0.4153,0.5624,0.6801,0.0647,35,11,0.3825,1,1,6,C,0,0,
119,0.4511,0.4397,0.5703,0.6806,0.0013,35,2,0.3882,2,1,5,C,1,,1
120,0.4947,0.4461,0.6857,0.521,0.84,36,0,0.3572,0,1,6,C,1,1,
121,0.4947,0.4461,0.6857,0.521,0.0024,36,7,0.3572,1,1,5,C,1,1,
122,0.2766,0.4231,0.4621,0.6556,0.2387,37,11,0.3029,0,1,6,C,1,1,
123,0.4783,0.4915,0.6145,0.4707,0.0366,37,5,0.2892,1,1,5,C,0,0,
124,0.5126,0.4919,0.5503,0.4516,0.0272,37,9,0.2485,2,0,0,C,0,1,
125,0.4797,0.4918,0.6118,0.4681,0.003,37,0,0.2864,3,0,4,C,0,1,
126,0.2762,0.4226,0.4638,0.6572,0.002,37,2,0.3048,4,0,3,C,1,0,
127,0.4984,0.4988,0.3629,0.8548,0.9119,38,8,0.3102,0,1,6,C,1,,1
128,0.1413,0.4846,0.2004,0.8531,0.0131,38,8,0.171,1,0,2,C,0,1,
129,0.4966,0.5022,0.3854,0.8546,0.9089,39,8,0.3294,0,1,6,C,1,,1
130,0.1298,0.4912,0.2244,0.8896,0.0086,39,8,0.1997,1,0,2,C,0,1,
131,0.497,0.498,0.3761,0.8617,0.902,40,8,0.3241,0,1,6,C,1,,1
132,0.8726,0.5112,0.2383,0.8428,0.2123,40,8,0.2009,1,0,2,C,0,1,
133,0.5227,0.5029,0.3867,0.8644,0.901,41,8,0.3343,0,1,6,C,1,,1
134,0.1384,0.4949,0.2177,0.901,0.1228,41,8,0.1961,1,1,6,C,0,0,
135,0.463,0.502,0.3598,0.8512,0.9001,42,8,0.3063,0,1,6,C,1,1,
136,0.1265,0.4891,0.1971,0.8518,0.0075,42,8,0.1679,1,0,2,C,0,1,
137,0.4829,0.4994,0.3678,0.8528,0.8975,43,8,0.3136,0,1,6,C,1,1,
138,0.101,0.4917,0.1715,0.8739,0.0034,43,8,0.1498,1,0,2,C,0,1,
139,0.4816,0.4975,0.354,0.8525,0.8754,44,8,0.3018,0,1,6,C,1,1,
140,0.491,0.5048,0.3672,0.859,0.904,45,8,0.3154,0,1,6,C,1,1,
141,0.8699,0.5105,0.2361,0.8359,0.1694,45,8,0.1974,1,0,2,C,0,,1
142,0.4723,0.5006,0.3459,0.8529,0.9037,46,8,0.295,0,1,6,C,1,1,
143,0.861,0.5086,0.2418,0.8354,0.3066,46,8,0.202,1,0,2,C,0,1,
144,0.3584,0.4981,0.5501,0.8756,0.7131,47,4,0.4817,0,1,6,C,1,1,
145,0.3157,0.7302,0.5649,0.4127,0.0069,47,11,0.2331,1,0,2,C,0,1,
146,0.3584,0.4981,0.5501,0.8756,0.0019,47,8,0.4817,2,0,4,C,0,1,
147,0.3835,0.4992,0.4856,0.8708,0.0015,47,5,0.4229,3,1,5,C,0,0,
148,0.5189,0.5012,0.3598,0.8613,0.9067,48,8,0.3099,0,1,6,C,1,1,
149,0.1458,0.4797,0.2375,0.8668,0.1459,48,8,0.2059,1,0,2,C,0,,1
150,0.5493,0.4489,0.794,0.6864,0.4743,49,0,0.545,0,1,6,C,0,,0
151,0.75,0.4856,0.4462,0.6416,0.1172,49,9,0.2863,1,0,0,C,0,1,
152,0.4866,0.4429,0.7389,0.618,0.0304,49,8,0.4566,2,0,4,C,0,1,
153,0.5211,0.4691,0.7683,0.6239,0.0112,49,12,0.4793,3,1,5,C,1,1,
154,0.9402,0.5255,0.074,0.5534,0.0037,49,11,0.041,4,0,2,C,0,1,
155,0.0725,0.4911,0.1371,0.8479,0.0011,49,8,0.1162,5,0,2,C,0,1,
156,0.4531,0.5032,0.3693,0.8552,0.9113,50,8,0.3158,0,1,6,C,1,,1
157,0.8501,0.497,0.2643,0.8943,0.2667,50,8,0.2364,1,0,2,C,0,1,
158,0.4431,0.5018,0.3841,0.8676,0.911,51,8,0.3333,0,1,6,C,1,1,
159,0.8398,0.511,0.2585,0.8572,0.1776,51,8,0.2216,1,0,2,C,0,1,
160,0.489,0.5061,0.3832,0.8646,0.9018,52,8,0.3313,0,1,6,C,1,1,
161,0.8693,0.5173,0.2415,0.8744,0.0091,52,8,0.2112,1,0,2,C,0,1,
162,0.5803,0.4169,0.5924,0.6757,0.7428,53,0,0.4003,0,1,6,C,1,1,
163,0.7795,0.6284,0.26,0.375,0.0407,53,5,0.0975,1,0,2,C,0,,1
164,0.308,0.6514,0.4621,0.564,0.003,53,11,0.2606,2,0,2,C,0,1,
165,0.2186,0.5147,0.3905,0.8527,0.0014,53,5,0.333,3,0,2,C,0,,1
166,0.3434,0.4942,0.5672,0.8446,0.8728,54,4,0.479,0,1,6,C,1,1,
167,0.3432,0.4924,0.5631,0.8404,0.0027,54,11,0.4733,1,1,5,C,1,,1
168,0.3432,0.4924,0.5631,0.8404,0.0016,54,1,0.4733,2,0,4,C,0,,1
169,0.3432,0.4924,0.5631,0.8404,0.0014,54,5,0.4733,3,1,5,C,0,0,
170,0.5141,0.4479,0.633,0.6216,0.4894,55,7,0.3935,0,0,4,C,1,,0
171,0.5143,0.4665,0.6358,0.6396,0.4813,55,0,0.4066,1,0,4,C,0,1,
172,0.9583,0.4519,0.0562,0.6109,0.0315,55,11,0.0344,2,0,2,C,0,1,
173,0.7396,0.4751,0.4794,0.5616,0.0069,55,12,0.2692,3,0,2,C,1,,0
174,0.7396,0.4751,0.4794,0.5616,0.0052,55,8,0.2692,4,0,2,C,0,1,
175,0.368,0.4507,0.5727,0.5879,0.0041,55,5,0.3367,5,0,3,C,0,,1
176,0.7396,0.4751,0.4794,0.5616,0.0037,55,9,0.2692,6,0,0,C,0,1,
177,0.5141,0.4479,0.633,0.6216,0.0013,55,1,0.3935,7,0,4,C,0,1,
178,0.5141,0.4479,0.633,0.6216,0.0012,55,11,0.3935,8,0,4,C,0,1,
179,0.0338,0.434,0.0598,0.6265,0.0011,55,11,0.0374,9,0,2,C,0,,1
180,0.5097,0.4964,0.6582,0.6773,0.7517,56,7,0.4458,0,0,4,C,1,0,
181,0.5152,0.4964,0.681,0.6795,0.0986,56,0,0.4627,1,1,5,C,0,0,
182,0.6913,0.5115,0.329,0.5838,0.0141,56,9,0.192,2,0,0,C,0,1,
183,0.2513,0.4861,0.4563,0.5944,0.0088,56,12,0.2712,3,0,2,C,0,1,
184,0.6913,0.5115,0.329,0.5838,0.0068,56,8,0.192,4,0,2,C,0,,1
185,0.5152,0.4964,0.681,0.6795,0.0031,56,5,0.4627,5,1,6,C,0,0,
186,0.959,0.3784,0.0625,0.5559,0.0028,56,11,0.0348,6,0,2,C,0,1,
187,0.2513,0.4861,0.4563,0.5944,0.0016,56,8,0.2712,7,0,2,C,0,1,
188,0.5097,0.4964,0.6582,0.6773,0.0014,56,1,0.4458,8,0,4,C,0,1,
189,0.5021,0.0722,0.5198,0.1577,0.0014,56,7,0.082,9,0,2,C,0,,1
190,0.509,0.4971,0.6502,0.6745,0.0013,56,11,0.4386,10,0,4,C,0,1,
191,0.4961,0.4573,0.5831,0.7375,0.8743,57,0,0.4301,0,1,6,C,1,1,
192,0.6026,0.1901,0.3227,0.3009,0.2033,57,11,0.0971,1,1,6,C,1,1,
193,0.9599,0.489,0.0732,0.5986,0.0191,57,11,0.0438,2,0,2,C,0,1,
194,0.4902,0.4725,0.6284,0.7501,0.0028,57,7,0.4713,3,1,5,C,0,0,
195,0.0375,0.4337,0.0636,0.6048,0.0022,57,11,0.0385,4,0,2,C,0,1,
196,0.4961,0.4571,0.5909,0.7381,0.002,57,5,0.4361,5,0,4,C,0,1,
197,0.6026,0.1901,0.3227,0.3009,0.0017,57,2,0.0971,6,1,5,C,1,1,
198,0.4961,0.4571,0.5909,0.7381,0.0014,57,9,0.4361,7,0,0,C,0,1,
199,0.7911,0.4079,0.3472,0.6483,0.5006,58,11,0.2251,0,1,6,C,1,1,
200,0.5732,0.4822,0.7432,0.7495,0.1483,58,5,0.557,1,0,2,C,0,1,
201,0.5602,0.4845,0.6824,0.7142,0.1238,58,9,0.4874,2,0,0,C,1,,0
202,0.5602,0.4845,0.6824,0.7142,0.0205,58,7,0.4874,3,0,2,C,0,1,
203,0.5732,0.4822,0.7432,0.7495,0.0043,58,0,0.557,4,0,2,C,0,1,
204,0.8031,0.3746,0.3327,0.593,0.0036,58,2,0.1973,5,1,5,C,1,1,
205,0.5143,0.4963,0.6952,0.7456,0.4458,59,5,0.5184,0,0,2,C,1,,0
206,0.521,0.4933,0.6661,0.7455,0.0854,59,9,0.4966,1,1,1,C,1,1,
207,0.5143,0.4963,0.6952,0.7456,0.0178,59,0,0.5184,2,0,2,C,0,1,
208,0.5143,0.4963,0.6952,0.7456,0.0079,59,7,0.5184,3,0,2,C,0,1,
209,0.3108,0.5457,0.6113,0.7196,0.0063,59,11,0.4399,4,0,2,C,0,,1
210,0.312,0.5463,0.6186,0.718,0.005,59,8,0.4442,5,0,2,C,0,1,
211,0.1259,0.8766,0.1616,0.1393,0.0036,59,0,0.0225,6,0,2,C,0,1,
212,0.5143,0.4963,0.6952,0.7456,0.0014,59,1,0.5184,7,0,2,C,0,1,
213,0.9155,0.8582,0.1259,0.1934,0.0012,59,11,0.0244,8,0,2,C,0,1,
214,0.4604,0.5115,0.3683,0.8848,0.9059,60,8,0.3258,0,1,6,C,1,1,
215,0.4467,0.5227,0.3555,0.8275,0.7431,61,5,0.2942,0,1,6,C,1,1,
216,0.4395,0.5039,0.4244,0.8609,0.7687,62,5,0.3654,0,1,6,C,1,1,
217,0.3497,0.5015,0.5942,0.889,0.8763,63,4,0.5283,0,1,6,C,1,1,
218,0.5271,0.5094,0.3349,0.8109,0.0035,63,8,0.2716,1,0,2,C,0,1,
219,0.3496,0.5008,0.5955,0.8878,0.0019,63,11,0.5286,2,1,5,C,1,1,
220,0.342,0.5013,0.5848,0.8883,0.0011,63,5,0.5194,3,1,5,C,0,,0
221,0.3496,0.5008,0.5955,0.8878,0.0011,63,1,0.5286,4,0,4,C,0,1,
222,0.486,0.5157,0.6467,0.6942,0.5313,64,5,0.4489,0,1,6,C,1,1,
223,0.486,0.5157,0.6467,0.6942,0.1921,64,9,0.4489,1,0,0,C,0,1,
224,0.4914,0.5257,0.6543,0.7101,0.0571,64,7,0.4646,2,0,4,C,1,0,
225,0.4858,0.5161,0.6481,0.6925,0.0046,64,0,0.4488,3,1,5,C,0,0,
226,0.2715,0.3083,0.3771,0.497,0.0024,64,11,0.1874,4,0,2,C,0,,1
227,0.4914,0.5257,0.6543,0.7101,0.0021,64,1,0.4646,5,0,4,C,0,1,
228,0.514,0.5242,0.603,0.5041,0.8735,65,8,0.304,0,1,6,C,1,,1
229,0.5239,0.6292,0.6186,0.494,0.804,66,8,0.3056,0,1,6,C,1,1,
230,0.4707,0.1443,0.4338,0.2288,0.0022,66,8,0.0993,1,0,2,C,0,,1
231,0.4116,0.6014,0.6082,0.4873,0.8824,67,8,0.2964,0,1,6,C,1,1,
232,0.415,0.1505,0.5699,0.2286,0.0028,67,8,0.1303,1,0,2,C,0,1,
233,0.5873,0.5087,0.6138,0.4797,0.9053,68,8,0.2944,0,1,6,C,1,,1
234,0.5991,0.4326,0.597,0.4631,0.9021,69,8,0.2765,0,1,6,C,1,1,
235,0.617,0.8803,0.5601,0.1829,0.0042,69,8,0.1025,1,0,2,C,0,,1
236,0.2272,0.4827,0.3932,0.6678,0.8889,70,11,0.2626,0,1,6,C,1,1,
237,0.2272,0.4827,0.3932,0.6678,0.0081,70,2,0.2626,1,1,5,C,1,1,
238,0.2274,0.4833,0.3943,0.6669,0.0015,70,4,0.2629,2,1,5,C,1,1,
239,0.4927,0.504,0.6865,0.6358,0.0013,70,9,0.4365,3,0,0,C,0,,1
240,0.215,0.4742,0.399,0.6691,0.9003,71,11,0.267,0,1,6,C,1,1,
241,0.215,0.4742,0.399,0.6691,0.0087,71,2,0.267,1,1,5,C,1,1,
242,0.2144,0.4692,0.4066,0.6761,0.0015,71,4,0.2749,2,1,5,C,1,1,
243,0.2364,0.5144,0.4213,0.7157,0.8663,72,11,0.3015,0,1,6,C,1,1,
244,0.2373,0.5168,0.4371,0.7262,0.0095,72,2,0.3174,1,1,5,C,1,1,
245,0.2369,0.5169,0.4389,0.7294,0.0016,72,4,0.3201,2,1,5,C,1,1,
246,0.6871,0.4547,0.4156,0.7058,0.3704,73,5,0.2934,0,0,2,C,0,1,
247,0.6531,0.4682,0.4677,0.6964,0.1847,73,8,0.3257,1,0,2,C,0,1,
248,0.2292,0.5531,0.4136,0.6188,0.0298,73,1,0.2559,2,0,2,C,0,,1
249,0.6871,0.4547,0.4156,0.7058,0.0172,73,0,0.2934,3,0,2,C,0,1,
250,0.6883,0.3756,0.3937,0.5613,0.0098,73,11,0.221,4,0,2,C,0,,1
251,0.238,0.5523,0.423,0.6388,0.0059,73,12,0.2702,5,0,2,C,0,1,
252,0.2278,0.5546,0.4139,0.6255,0.0042,73,4,0.2589,6,0,2,C,1,0,
253,0.6519,0.4688,0.47,0.6995,0.0033,73,12,0.3287,7,0,2,C,0,1,
254,0.2278,0.5546,0.4139,0.6255,0.0028,73,0,0.2589,8,0,2,C,0,,1
255,0.6855,0.4597,0.4189,0.7083,0.0025,73,7,0.2967,9,0,2,C,0,1,
256,0.6879,0.4541,0.4038,0.7012,0.0025,73,9,0.2832,10,0,0,C,0,1,
257,0.238,0.5523,0.423,0.6388,0.0024,73,5,0.2702,11,0,2,C,0,1,
258,0.6855,0.4597,0.4189,0.7083,0.0018,73,1,0.2967,12,0,2,C,0,,1
259,0.6871,0.4547,0.4156,0.7058,0.0012,73,2,0.2934,13,0,2,C,1,0,
260,0.3059,0.4958,0.5446,0.9095,0.8306,74,4,0.4953,0,1,6,C,1,1,
261,0.3058,0.4951,0.5461,0.9082,0.002,74,8,0.4959,1,0,4,C,0,1,
262,0.3058,0.4951,0.5461,0.9082,0.0018,74,11,0.4959,2,1,5,C,1,1,
263,0.2855,0.4972,0.5032,0.905,0.0012,74,5,0.4555,3,1,5,C,0,0,
264,0.3058,0.4951,0.5461,0.9082,0.0011,74,1,0.4959,4,0,4,C,0,,1
265,0.3828,0.4962,0.5775,0.9096,0.5389,75,4,0.5253,0,1,5,C,1,1,
266,0.3772,0.4931,0.5905,0.9087,0.1853,75,11,0.5365,1,1,6,C,1,1,
267,0.3828,0.4962,0.5775,0.9096,0.0312,75,5,0.5253,2,1,5,C,0,0,
268,0.3828,0.4962,0.5775,0.9096,0.0029,75,1,0.5253,3,0,4,C,0,1,
269,0.3772,0.4931,0.5905,0.9087,0.002,75,9,0.5365,4,0,0,C,0,1,
270,0.3828,0.4962,0.5775,0.9096,0.0019,75,0,0.5253,5,0,4,C,0,,1
271,0.3819,0.4956,0.5782,0.9099,0.0015,75,8,0.5261,6,0,4,C,0,1,
272,0.3772,0.4931,0.5905,0.9087,0.0011,75,2,0.5365,7,1,5,C,1,1,
273,0.4933,0.565,0.3486,0.7267,0.3353,76,5,0.2534,0,1,6,C,0,0,
274,0.1756,0.498,0.2897,0.8259,0.0024,76,5,0.2393,1,0,2,C,0,1,
275,0.2979,0.8632,0.3078,0.1768,0.0011,76,5,0.0544,2,0,2,C,0,,1
276,0.5168,0.4901,0.3736,0.8555,0.7649,77,5,0.3196,0,1,6,C,1,1,
277,0.5143,0.4768,0.3778,0.8662,0.0014,77,7,0.3272,1,0,4,C,1,0,
278,0.5168,0.4901,0.3736,0.8555,0.001,77,8,0.3196,2,0,4,C,0,1,
279,0.368,0.5024,0.6194,0.9319,0.652,78,4,0.5772,0,1,6,C,1,1,
280,0.3597,0.6918,0.5941,0.5274,0.1171,78,11,0.3133,1,0,3,C,0,1,
281,0.368,0.5021,0.6149,0.9322,0.0086,78,5,0.5732,2,1,5,C,0,,0
282,0.3753,0.5,0.5982,0.9327,0.0024,78,8,0.558,3,0,4,C,0,1,
283,0.368,0.5024,0.6194,0.9319,0.0022,78,9,0.5772,4,0,0,C,0,,1
284,0.368,0.5024,0.6194,0.9319,0.0022,78,0,0.5772,5,0,4,C,0,1,
